commodity_code,trade_value_usd
1,12122823
2,5215826
3,10910304
4,70460719
5,29176520
6,1297287
7,1779355
8,50950567
9,23049025
10,170998102
11,46508405
12,25479318
13,3341862
14,27738
15,707790041
16,9116317
17,64136864
18,7678140
19,243109460
20,11159919
21,381027164
22,130767530
23,343991883
24,54534670
25,87113425
26,1057170
27,2745259321
28,86426041
29,123312044
30,592481639
31,391351453
32,48389043
33,124892912
34,99825021
35,27480279
36,210441
37,5946810
38,203795434
39,771522864
40,131972755
41,14439097
42,30514618
43,1215332
44,29843750
45,315087
46,170425
47,6193686
48,263790961
49,9064044
50,2227452
51,3337940
52,144852359
53,882408
54,237363087
55,746367496
56,263825270
57,3900071
58,132646937
59,52557876
60,128468999
61,25174158
62,31081739
63,52080538
64,61160658
65,2991673
66,3509086
67,2393597
68,51350671
69,92541839
70,84105124
71,1522750
72,1130523649
73,647537201
74,28325257
75,48669
76,129242450
78,1015119
79,3922041
80,1201632
81,51980
82,22917841
83,84334304
84,1756023749
85,1954847832
86,115330794
87,1189495345
88,73696794
89,27964384
90,233780893
91,3856252
92,1164344
94,95618107
95,16975448
96,114610794
97,368715
99,5789238
102,7928
103,4817593
104,78443
105,6652394
106,566463
201,2904
202,3501997
203,438711
204,563194
206,119517
207,568016
209,23
210,21460
301,45488
302,867404
303,7245476
304,486270
305,1253387
306,833188
307,179087
401,2983984
402,39585235
403,10439422
404,5175481
405,3620319
406,6533559
407,2054201
408,13405
409,22504
410,32604
501,16399922
504,4409
505,12758016
506,192
511,13978
601,129920
602,37996
603,1118137
604,11232
701,144604
702,4047
703,316
704,1450
706,2207
709,274011
710,768400
711,60110
712,295655
713,115990
714,112560
801,314888
802,60326
803,29150
804,257599
805,23266958
806,3300869
807,17146
808,20585743
809,226832
810,2649888
811,169796
812,1416
813,65622
814,4330
901,1554610
902,1312557
904,15441852
905,6065
906,2123
907,737089
908,1495513
909,2125064
910,374148
1001,136479724
1003,165208
1004,9529
1005,32478140
1006,1863700
1007,1800
1101,6700681
1102,365659
1103,3278144
1104,515104
1105,277543
1106,14901
1107,29837744
1108,5120302
1109,398322
1201,9327243
1202,974600
1203,99078
1205,155524
1206,805164
1207,4551579
1209,5508914
1210,658198
1211,2816913
1212,582102
1301,254075
1302,3087787
1404,27738
1501,2706
1502,4508
1504,234833
1505,4934
1507,1231813
1509,580304
1511,645251176
1512,42400180
1513,2579412
1514,188208
1515,375074
1516,7308446
1517,7443720
1518,49336
1521,135383
1601,1635827
1602,2045476
1603,39218
1604,4711532
1605,684262
1701,46632910
1702,7111903
1703,1216
1704,10390834
1804,3808
1805,936232
1806,6738100
1901,145219851
1902,11766596
1903,3051433
1904,4245209
1905,78826371
2001,142513
2002,474261
2003,70124
2004,537799
2005,755693
2006,108805
2007,1658503
2008,3279532
2009,4132685
2101,48667599
2102,3797026
2103,27593675
2104,6458514
2105,1881638
2106,292628711
2201,182471
2202,121753829
2203,159982
2204,3146017
2206,40550
2207,41339
2208,5137633
2209,305705
2301,24926788
2302,20355180
2303,11651056
2304,92558417
2305,50020
2306,11516995
2308,46805204
2309,136128220
2401,6735785
2402,1160255
2403,46638629
2501,1691842
2502,7220
2503,5362894
2504,1283332
2505,2712794
2506,1215
2507,642935
2508,1469411
2509,11963
2511,796778
2512,20531
2513,89261
2515,115
2516,40803
2517,350815
2518,25380
2519,279809
2520,3319402
2521,386679
2522,57950
2523,67784334
2524,94636
2525,1121
2526,514135
2528,35098
2529,62570
2530,70388
2601,575
2602,163
2608,39946
2613,50
2614,33200
2618,708963
2619,55
2621,274216
2701,41650195
2704,466791
2705,81500
2706,524192
2707,1125597
2709,60076
2710,2446730659
2711,156620978
2712,25020022
2713,34491308
2714,25566012
2715,3310
2716,12918673
2801,80416
2802,296805
2803,3039767
2804,996544
2805,14514
2806,506778
2807,9239446
2808,568249
2809,977783
2810,160392
2811,2205624
2812,119166
2813,240648
2814,153370
2815,8551216
2816,191497
2817,1359627
2818,8637
2820,299109
2821,330172
2823,9315529
2824,7220
2825,351026
2826,136113
2827,1998302
2828,597073
2829,267078
2830,325682
2831,546397
2832,168974
2833,7202749
2834,146785
2835,4917087
2836,15754949
2837,6060316
2839,3299845
2840,665344
2841,149408
2842,3922254
2843,20911
2844,91370
2846,1550
2847,683879
2849,312356
2850,416
2852,1241
2853,142405
2901,8341753
2902,6139708
2903,2286253
2904,382681
2905,3638939
2906,1784833
2907,273692
2908,79425
2909,411084
2910,1947
2911,120
2912,3068950
2914,2557505
2915,4151311
2916,3005313
2917,5841471
2918,3563732
2919,38649
2920,118992
2921,211745
2922,49377599
2923,1313659
2924,789609
2925,588289
2926,14029
2927,58461
2928,1459404
2929,2790948
2930,7409627
2931,329346
2932,141846
2933,2506028
2934,1348622
2935,157480
2936,2953505
2937,48411
2938,39598
2939,659089
2940,210706
2941,3205325
2942,2012341
3001,1010531
3002,51571522
3003,4194936
3004,476373858
3005,16259626
3006,43071162
3101,10532381
3102,155533139
3103,438040
3104,5441807
3105,219406084
3201,31500
3202,46336
3203,209278
3204,6202519
3205,165783
3206,4068363
3207,877442
3208,12960320
3209,8528788
3210,716389
3211,593321
3212,631896
3213,153010
3214,4616975
3215,8587115
3301,2511791
3302,26225062
3303,773680
3304,40439347
3305,28050286
3306,14299828
3307,12592916
3401,45064664
3402,50601306
3403,2282109
3404,713803
3405,829048
3406,240141
3407,93947
3501,66516
3502,17813
3503,380884
3504,193064
3505,6635075
3506,16517663
3507,3669263
3602,203169
3603,3600
3605,13
3606,3657
3701,2730265
3702,1237599
3703,1206473
3704,71428
3705,42858
3707,658185
3801,2556051
3802,2059108
3804,271998
3805,119402
3806,178477
3808,120935104
3809,1931457
3810,273722
3811,1153608
3812,3545782
3813,752917
3814,10612691
3815,293995
3816,2272930
3817,135644
3819,267158
3820,1929046
3821,850657
3822,22349217
3823,1177913
3824,29593214
3825,535332
3901,108699822
3902,140265756
3903,5365222
3904,66838658
3905,4456460
3906,10993104
3907,58336165
3908,1169527
3909,5630505
3910,3751852
3911,992435
3912,2942356
3913,373848
3914,344683
3915,1826058
3916,1403224
3917,30187691
3918,8967459
3919,31754584
3920,81011132
3921,37250944
3922,771093
3923,47149071
3924,15924718
3925,7798979
3926,97317504
4001,518862
4002,5440773
4003,10159
4004,11394
4005,101710
4006,255129
4007,93998
4008,1510084
4009,2269885
4010,3551621
4011,92378929
4012,232769
4013,6386386
4014,1419635
4015,7498940
4016,10211174
4017,81297
4101,35700
4102,26502
4103,300
4104,8667
4106,4317
4107,3448283
4112,245026
4113,2509393
4114,1247752
4115,6913153
4201,15818
4202,23916130
4203,1967906
4205,4614762
4302,2679
4303,4556
4304,1208096
4401,57539
4402,19367
4404,35011
4405,15584
4407,261865
4408,2663284
4409,85228
4410,1900839
4411,8539033
4412,10825334
4413,105836
4414,308210
4415,991061
4416,16460
4417,10003
4418,1462684
4419,285673
4420,107714
4421,2153016
4501,2542
4503,27081
4504,285464
4601,158610
4602,11814
4701,121538
4703,470382
4704,124
4705,33
4706,64788
4707,5536818
4801,6857336
4802,65696840
4803,2564452
4804,5400018
4805,17031028
4806,426948
4807,180412
4808,4552395
4809,2405678
4810,31654430
4811,13953811
4812,22164
4813,3511992
4814,244930
4816,14322536
4817,253102
4818,8682897
4819,42919356
4820,4771784
4821,25811823
4822,472452
4823,12054568
4901,2174332
4902,186331
4903,76918
4905,2402
4906,3277
