CommodityCode,ValueUSD
1,14404343
2,3872948
3,7101111
4,59627251
5,42024750
6,2712401
7,6222216
8,46836938
9,17284196
10,148125260
11,43303053
12,14494121
13,2325861
14,16117
15,586931150
16,6970311
17,601360795
18,6173848
19,237614433
20,9218695
21,304008473
22,106429457
23,245681263
24,65035495
25,112308842
26,257356
27,4040065908
28,84243341
29,96728680
30,549650134
31,380230690
32,42560918
33,179999546
34,102873623
35,23138476
36,1032072
37,8246049
38,144712960
39,808459770
40,159419198
41,46691247
42,25796175
43,1369164
44,38392331
45,2227214
46,747761
47,842035
48,298973288
49,8730054
50,643251
51,9030798
52,186849868
53,849425
54,192317997
55,933324218
56,64771137
57,6701774
58,181474250
59,45627617
60,76085171
61,54763908
62,33615049
63,34772679
64,91572712
65,4635070
66,4088041
67,3229228
68,72100243
69,112619859
70,84940794
71,4876205
72,971564187
73,544872106
74,18509549
75,23638
76,121969146
78,1153699
79,2091140
80,1715219
81,203620
82,38086288
83,71836779
84,1812957297
85,1242724391
86,61008699
87,1468196476
88,132231993
89,423843325
90,199992676
91,5194183
92,1280811
94,123171529
95,22106629
96,138192409
97,133516
99,16472947
101,7788
103,4045312
104,3063323
105,6809722
106,478197
201,19178
202,696334
203,1358657
204,274208
206,362020
207,406345
208,9177
209,329320
210,417704
301,185402
302,383660
303,3603372
304,250702
305,931797
306,1237596
307,178399
308,330180
401,6630791
402,33155129
403,2392222
404,5076799
405,4604488
406,5574408
407,1825815
408,97
409,277470
410,90028
501,15557195
504,30450
505,25737609
506,698291
511,1203
601,46311
602,225994
603,2439795
604,299
701,243357
702,250315
703,181392
704,208969
705,190646
706,269110
707,296517
708,492537
709,703171
710,664339
711,231114
712,288806
713,2115797
714,86139
801,21830
802,1577709
803,7170
804,310449
805,31755439
806,1967039
807,43707
808,8819389
809,479464
810,986395
811,32820
812,15979
813,810287
814,9255
901,2314183
902,1306756
904,9602703
905,6429
906,95253
907,429291
908,1052368
909,1265126
910,1212082
1001,104551857
1002,1999
1003,316124
1005,39067200
1006,3548423
1007,412
1008,639242
1101,16265394
1102,1806424
1103,671984
1104,1840053
1105,630249
1106,22152
1107,20669997
1108,1171975
1109,224821
1201,4748078
1202,596916
1206,509312
1207,4429727
1208,2014
1209,1619867
1210,620370
1211,1796634
1212,171200
1301,204935
1302,2120925
1401,15876
1404,241
1503,10202
1504,28598
1505,18372
1506,16002
1507,562838
1508,723
1509,452031
1510,10154
1511,10407272
1512,17516517
1513,2872953
1514,383479
1515,159800
1516,546622294
1517,7338366
1518,28667
1520,4650
1521,381678
1522,116543
1601,1190133
1602,1575448
1603,13342
1604,3935290
1605,256095
1701,585881561
1702,3751743
1703,6522
1704,11720968
1801,187
1804,5986
1805,605706
1806,5561969
1901,140927827
1902,5367292
1903,3257487
1904,10234550
1905,77827275
2001,120910
2002,360673
2003,53536
2004,553469
2005,1263149
2006,142744
2007,898418
2008,1320895
2009,4504895
2101,43852730
2102,3087259
2103,16814576
2104,7151568
2105,2408870
2106,230693468
2201,932324
2202,89456821
2203,121739
2204,5266909
2205,189820
2206,51287
2207,997109
2208,8908983
2209,504461
2301,2379762
2302,3028285
2303,10860882
2304,38896814
2305,11805
2306,4234519
2308,59983452
2309,126285740
2401,4601922
2402,3897365
2403,56536208
2501,1974867
2502,8739
2503,29898242
2504,3229446
2505,841541
2506,35636
2507,576384
