commodity_code,trade_value_usd
8426,30615
8427,40177
8428,91034
8429,1297692
8430,515190
8431,136771
8432,53666
8433,1094400
8441,102909
8442,6100
8443,168913
8444,220
8445,37890
8446,5174
8447,5203615
8450,17264
8451,1387513
8452,1615070
8453,103445
8455,32370
8459,25
8461,48605
8462,322452
8465,17990
8466,45489
8467,155694
8468,13840
8470,1296111
8471,1149762
8473,95234793
8474,142000
8476,72862
8477,110600
8479,951146
8480,553665
8481,456
8482,12385789
8483,33272
8486,3000
8487,2445296
8501,61544613
8502,28275
8503,2424329
8504,37599633
8505,396
8506,5320
8507,508250
8508,111609
8509,39791267
8511,18213049
8512,43139
8514,1601808
8515,41512
8516,4806857
8517,26391261
8518,35028
8523,10374
8525,1686314
8528,444715
8529,641578
8531,1303143
8533,4736413
8534,6783934
8535,25132
8536,59820751
8537,1026254
8538,3994307
8539,690901
8541,155451087
8542,9597203
8543,5942449
8544,316790554
8609,20347
8701,125313
8703,250000
8704,1250
8707,4800
8708,16331723
8711,4336134
8712,529693634
8714,8508230
8716,151553
8803,15100
8903,2804519
8907,450
9001,1095
9003,3101610
9004,878506
9017,234676
9018,1162094
9019,3250
9020,74155
9021,6114
9022,28052
9023,20065
9024,28251
9025,432505
9026,6261
9027,102675
9030,104036
9031,73058
9033,38472
9102,25044
9106,118260
9109,87627
9111,4788939
9113,1847435
9201,216614
9208,2
9401,115748337
9402,904
9403,87948449
9404,64770912
9405,366731400
9406,3175766
9503,13440121
9504,9128756
9505,24809048
9506,15854719
9507,3927298
9603,13294485
9605,2434564
9606,186074
9607,649106
9608,2310
9615,530370
9616,2092494
9617,13065
9619,56403
9701,57793
9703,213092
9999,1688406
10310,132000
10649,70
10690,226089
20890,775
30199,5000
30229,225104
30559,11088
30569,250
30616,63970
30695,6633
30751,28428
30759,12440
40900,2752
50100,1899
60319,1794
70200,2
70410,7
70490,7
70690,5
70700,2
70820,66489
70930,3330
70960,21237
70993,2
70999,75807
71080,3720
71233,570
71290,4769
71410,3788745
71420,14302
71440,66
80119,28993
80131,7220337
80132,2462908
80232,3290
80310,1272
80390,112907450
80430,564
80450,3611347
80510,29
80540,8
80550,149
80711,7
80720,8800
81060,17541
81090,586721
81290,1003716
81340,6829
81350,3118240
90111,540
90112,346
90121,4697
90190,4500
90210,270
90240,981
90411,9881291
90412,5438
90422,6220
90961,15941
91011,4770
91030,1360196
91091,67924
91099,127608
100510,20400
100590,471862
100610,47726
100620,7788838
100630,460357643
100640,2470540
110290,2844829
110630,15465
110814,20547557
110819,470188
120190,16450
120241,562994
120600,30
120710,5
120740,342370
121190,35495
121293,91
121299,103037
130190,433950
140490,180
150110,12181
150910,1060195
151110,27898254
151190,10656
151329,3099377
152200,88400
170114,9509500
170199,36534330
170260,4000
170290,331769
170310,6497670
180100,5778
180500,550800
190190,540
190219,1056616
190230,1816633
190490,40136
190531,5676
190590,10191587
200591,12
200600,28144777
200799,87483
200819,3494065
200820,54766
200830,27702
200899,657767
200989,18772
210112,17
210220,524164
210390,33210
210690,321966
220190,3436
220210,196000
220300,1118049
220410,6050
220600,5181
220710,2386457
220820,3448
220840,11333
220850,1804
220900,36000
230330,217763
230910,20044026
240110,2637920
240120,3081560
240220,6971699
240399,262628
250100,43624
250590,882551
251511,12229
251512,2545657
251612,1325475
252329,240490
253090,1149
261690,368491
270119,190
271500,174
281122,642
281700,35650
283325,299820
291010,25567
291090,44634
291815,10663129
293590,11423220
300212,2750
300290,31
300490,5301297
300510,4776692
300640,1556683
310510,25500
310520,38000
320300,75
320810,820
320890,17608
320910,20750
321290,9312
321390,278
321490,34456
321511,36774
321519,5881
321590,2300
330410,59827
330499,1585738
330610,35856
330741,100
330790,114
340111,5100
340120,85
340211,49000
340290,120258
340311,276
340520,37590
340600,1038215
350510,2796173
350520,6796
350610,208026
350699,25966
360410,550812
360490,189181
360690,63880
370130,23490
370199,182783
370790,23114
380859,97168
380862,1644481
380894,600
380899,362082
380991,41600
381190,4752
381239,1164
381400,111
381800,260708
382200,486
382319,180540
382440,9865
382471,15
390120,9000
390190,81196
390210,614954
390311,20975
390330,77490
390769,508637
390799,142296
391000,24
391590,1589083
391710,18
391722,210
391723,990
391729,2188
391731,1685
391739,12
391740,10706
391810,5184426
391910,552367
391990,54020
392010,44539
392020,185295
392061,42
392062,67500
392099,668
392111,114904
392112,8710
392113,135290
392119,197122
392190,2039865
392310,2381495
392321,40305541
392329,4719185
392330,1492
392340,231027
392350,15191
392390,104082
392410,16802
392490,60574
392530,191526410
392590,114618
392610,1107058
392620,10770253
392630,479327
392640,1758374
392690,43665513
400110,20729
400121,27052926
400129,246530688
400219,238848
400220,1422
400249,480
400299,6205
400591,30096
400811,2756
400821,489
400912,110
400941,160
401120,4958
401150,27355
401220,768
401290,31308
401320,360
401511,553590
401519,4009990
401590,3207583
401610,2555
401693,600
401699,123590
410150,15283
410190,161884
410320,3462
410411,7658649
410419,886
410449,296079
410631,1393718
410712,47241
410719,85624
410799,661034
411320,6858000
411390,25911
411410,961126
411510,1269642
420100,11630066
420211,4229242
420212,44302024
420219,4440842
420221,134465115
420222,266998806
420229,102706588
420231,10114998
420232,15197035
420239,1284186
420291,59814489
420292,331386367
420299,3440314
420310,985390
420321,6463256
420329,7912018
420330,1450569
420340,872649
420500,1086204
430211,188079746
430219,10013691
430310,997906
430390,939319
440122,360000
440290,42160
440349,1800
440398,15312
440399,10
440799,7327430
440810,1571148
440839,558700
440890,285147
440910,13719092
440929,3273452
441210,114887
441231,850829
441233,150953214
441299,34814619
441400,1610
441510,75
441520,9221
441875,752558
441879,66227
441899,1170370
441912,50
441919,1277
441990,10
442010,38585
442090,225
442110,6540
442191,1000
442199,4990
450390,28329
460129,8219
460199,10963
460211,29367
460219,153201
460290,497246
470790,265876
480220,105450
480255,49536
480269,27300
480300,106920
480419,38639
480459,360
480530,4598
480591,306420
480810,284
480890,483
480990,5481
481099,33750
481141,87084
481190,59936
481710,1524490
481730,12810
481810,4192
481830,596801
481850,3463
481890,1044418
481910,1619155
481920,191783
481930,2550420
481940,3037357
481950,855888
481960,1431
482010,375559
482030,57545
482090,5070
482110,554873
482190,41099
482290,21108
482320,24103
482390,200852
490110,2712
490191,399
490199,43415
490300,160692
490591,1736
490600,450
490700,382071581
490810,440161
490890,913153
491000,4556
491110,7837
491199,116942
500200,15000
520419,66565
520511,724050
520512,2477444
520515,703255
520612,71236
520790,1692
520812,17275
520819,10292
520829,100330
520841,20823
520842,59734
520849,31751
520859,24115
520922,2304
520929,425184
520942,130262
521142,4489331
521149,8206
521215,27932
530500,27472
530919,131656
540110,78137
540120,1807238
540219,53442
540233,120090
540249,19679
540411,2894
540412,48665
540490,205967
540710,44580
540720,145886
540741,67822
540742,3894
540761,32821
540769,3192
550319,902
550320,400067
550810,5470821
550959,2471690
551090,452904
551110,7202
551219,8576
551313,1285
551319,47043
551341,18698
551511,156479
551519,24762
551529,2631345
551599,1825198
560122,52280
560129,21195
560210,56765
560221,74323
560290,12400
560311,446085
560312,107940
560314,3364
560391,432
560392,311685
560490,67136
560500,59561
560600,12597
560729,42821
560741,1976
560749,479023
560750,376800
560790,671506
560819,857780
560900,1062668
570490,33406
570500,20
580190,1007
580219,7101
580410,3240
580429,121237
580430,81567
580610,2017
580620,83352
580631,64979
580632,607579
580639,59855
580710,136188
580790,100816
580810,19970
580890,212728
581010,85331
581092,595234
581099,384892
581100,2952
590110,146638
590190,45184811
590310,205154
590320,25889
590390,194191
590610,3
590691,284698
590699,558612
591190,14054
600191,715
600290,73427
600320,71583
600410,688398
600490,4616664
600522,15119580
600622,10743011
600624,387299
600632,1055210
