CommodityCode,ValueUSD
1,10359001
2,31145197
3,41944311
4,43778082
5,3650
6,2252607
7,28259450
8,43915154
9,9135343
10,45018267
11,13447741
12,2596346
13,278776
14,20652
15,13716288
16,19577100
17,7648437
18,9714673
19,52609618
20,16135776
21,37424797
22,42018246
23,40290411
24,26057
25,33769914
26,2194035
27,1722195107
28,19621676
29,54416080
30,100674210
31,1443623
32,21280680
33,20323320
34,17740295
35,2602962
36,1582978
37,344594
38,100479325
39,52165146
40,33412002
41,1141
42,7529431
43,628664
44,8562163
45,14637
46,96947
47,179722
48,28245216
49,9656627
50,880800
51,3474
52,2311006
53,15791
54,3242250
55,1927857
56,3093192
57,3118113
58,2531664
59,2447026
60,2556596
61,14453800
62,15511074
63,5976545
64,8143365
65,1006163
66,261801
67,498060
68,42638095
69,15622993
70,6652296
71,1327330
72,45933046
73,410731821
74,6931937
75,545047
76,18973466
78,1092479
79,599189
80,19495
81,137122
82,20403143
83,9093526
84,900576169
85,216801755
86,2863486
87,297693244
88,76255583
89,9583879
90,108349689
91,6377181
92,426369
94,49916643
95,12343743
96,14676272
97,281425
99,7372595
101,395272
102,7734758
104,14445
105,1567871
106,646652
201,1509995
202,12779893
203,6786730
204,5317631
206,414647
207,4327039
210,9258
301,1884026
302,14884942
303,8439376
304,1976020
305,2710757
306,7991623
307,4022848
308,34716
401,3077432
402,21160079
403,3839777
404,55735
405,5586101
406,5553089
407,3941885
408,41805
409,499813
410,22360
508,588
511,3061
601,5659
602,764496
603,1422659
604,59792
701,1411643
702,1281085
703,4576688
704,4129519
705,1506565
706,1798940
707,136960
708,341403
709,7316889
710,2609874
711,161328
712,1231756
713,1082126
714,674668
801,1828536
802,177638
803,2994800
804,5979129
805,5809150
806,2302884
807,4795495
808,3863351
809,335920
810,14255536
811,68618
812,322007
813,1163350
814,18732
901,734171
902,2753412
903,195730
904,974014
905,81466
906,88731
907,49237
908,147609
909,756947
910,3354023
1001,67373
1003,2192
1004,1643
1005,1046870
1006,43890098
1008,10089
1101,8810593
1102,1036499
1103,973567
1104,507908
1105,1371293
1106,237808
1107,579
1108,508742
1109,750
1201,612245
1202,389202
1204,22
1206,82644
1207,132291
1208,604
1209,240908
1211,150802
1212,236496
1213,12855
1214,738272
1301,5015
1302,273761
1401,106
1404,20546
1501,38
1502,92948
1504,4630
1507,180028
1509,235467
1510,177
1511,1871673
1512,916024
1513,2377329
1514,140636
1515,2669640
1516,3452757
1517,1308278
1518,466643
1521,14
1601,3490800
1602,7653706
1603,6716
1604,4993901
1605,3431976
1701,3718464
1702,835353
1703,17385
1704,3077234
1801,78
1802,199
1803,281560
1805,440730
1806,8992104
1901,7609667
1902,16166326
1903,103725
1904,3016437
1905,25713462
2001,293163
2002,249482
2003,325641
2004,848504
2005,4198103
2006,85919
2007,892534
2008,6875249
2009,2367176
2101,5659410
2102,274331
2103,14520666
2104,1310025
2105,3130346
2106,12530016
2201,2300312
2202,38763630
2203,297737
2204,123289
2206,16504
2207,3592
2208,153450
2209,359728
2301,9520
2302,1207138
2304,1182698
2306,239996
2308,14719
2309,37636338
2402,24133
2403,1924
2501,458555
2503,2211
2505,1698030
2506,84336
2508,402377
2509,3865
2511,782440
2512,167
2513,406955
2514,11513
2515,5879
2516,94498
2517,6371810
2518,670
2519,32456
2520,60950
2521,187337
2522,5501
2523,23144258
2524,1466
2525,6771
2526,157
2530,7704
2603,16143
2618,378375
2620,5317
2621,1794199
2701,36194890
2702,74
2703,127978
2705,86815519
2706,1446
2707,11216818
2709,1160969027
2710,411181979
2711,5854721
2712,2793874
2713,2773824
2714,3184648
2715,1080301
2801,249525
2803,11652
2804,3099629
2805,22898
2806,316689
2807,34828
2808,2006
2809,120054
2810,65
2811,604041
2812,49345
2813,340
2814,220545
2815,918486
2816,12884
2817,410
2818,400538
2820,9884
2821,8
2822,129
2825,299077
2826,15776
2827,4504006
2828,520641
2829,110941
2830,65877
2831,3942
2832,89
2833,2614861
2834,6554
2835,1199665
2836,2027321
2837,3146
2839,11061
2840,658
2841,131610
2842,52316
2843,3180
2844,1505002
2845,11073
2846,153
2847,13412
2849,252008
2852,132526
2853,62806
2901,551832
2902,19131103
2903,10533531
2904,83894
2905,2395277
2907,115119
2908,74
2909,5370968
2910,33
2911,2556
2912,65915
2914,66284
2915,1580879
2916,170033
2917,197979
2918,324988
2919,42764
2920,686864
2921,291904
2922,7013285
2923,14563
2924,189
2925,649
2926,486
2927,498
2928,336405
2929,100098
2930,1116640
2931,333751
2932,2780
2933,169987
2934,5560
2935,1600180
2936,745901
2937,120013
2938,168
2939,40681
2941,279
2942,1201951
3001,16552
3002,3680554
3003,2386663
3004,92023457
3005,2131647
3006,435335
3101,923705
3102,125601
3103,17855
3104,47680
3105,328779
3202,54
3203,41060
3204,359637
3205,47
3206,38523
3207,191826
3208,7029588
3209,7941509
3210,2220261
3211,16268
3212,34679
3213,128095
3214,2871133
3215,407995
3301,143779
3302,24205
3303,1146083
3304,6817469
3305,3870326
3306,2989986
3307,5331468
3401,4770439
3402,10854945
3403,1279827
3404,254436
3405,301152
3406,202536
3407,76958
3501,9786
3503,2812
3505,296151
3506,2294117
3507,94
3602,748332
3603,326097
3604,112065
3605,338755
3606,57728
3701,84128
3702,39924
3703,26033
3704,25618
3705,88440
3707,80448
3801,515
3802,1243963
3805,60474
3806,102803
3807,680
3808,2660712
3809,2080345
3810,111352
3811,2484407
3812,132389
3813,450070
3814,933610
3815,44466865
3816,2538220
3817,2068
3819,501385
3820,237334
3821,193386
3822,8761968
3823,7964
3824,33378307
3825,129882
3826,614
3901,500445
3902,84610
3903,214903
3904,439131
3905,52492
3906,190930
3907,710362
3908,112311
3909,245672
3910,125746
3911,77932
3912,23618
3913,24902
3914,819698
3915,190485
3916,139710
3917,12843066
3918,875830
3919,2476142
3920,2270386
3921,1293731
3922,528835
3923,9923618
3924,5301994
3925,772867
3926,11925719
4001,1937
4002,142801
4003,1521
4004,4171
4005,5152
4006,6316
4007,62
4008,87733
4009,4371275
4010,1040971
4011,16862508
4012,190625
4013,89062
4014,165327
4015,779703
4016,9505146
4017,157685
4106,624
4107,342
4114,174
4201,91620
4202,6877555
4203,482927
4205,77328
4302,9
4303,627984
4304,669
4401,287666
4402,205077
4403,180
4404,5712
4407,655877
4408,17072
4409,63092
4410,54797
4411,248456
4412,4307012
4413,493
4414,158299
4415,241901
4416,4708
4417,16999
4418,1722330
4419,140153
4420,118703
4421,313628
4502,4512
4503,1679
4504,8445
4601,34048
4602,62899
4702,10436
4706,10368
4707,158918
4801,672184
4802,2763408
4803,479681
4804,72011
4805,298901
4806,203960
4807,14732
4808,203445
4809,486071
4810,1760089
4811,566996
4812,8525
4813,1678
4814,170513
4816,108383
4817,1036637
4818,7217513
4819,5668646
4820,1974047
4821,745987
4822,13980
4823,3777819
4901,6293037
4902,1158309
4903,5121
4904,3602
4905,28614
4906,16054
4907,330310
4908,2243
