CommodityCode,ValueUSD
1,3081966
2,78619842
3,282138714
4,276682468
5,12944315
6,19560273
7,20308861
8,116904686
9,208991478
10,25091504
11,65142383
12,72668509
13,28325902
14,6967965
15,301000045
16,72357789
17,89115121
18,712628664
19,1636346339
20,174393915
21,4972882990
22,2900978673
23,251497488
24,1097726876
25,67180066
26,37673576
27,54026759166
28,557443986
29,16885224533
30,8356180232
31,19869171
32,1483710047
33,8366110407
34,1060000532
35,344227930
36,40034870
37,145589332
38,6352647528
39,15943384537
40,2073649868
41,102146673
42,1586196526
43,10664459
44,91108426
45,747565
46,1388510
47,922127387
48,1540085848
49,753285320
50,3875431
51,5028077
52,36638856
53,2766657
54,235795629
55,121941187
56,64135938
57,10861765
58,22358825
59,113792349
60,71509777
61,728323033
62,707821665
63,114800104
64,545427202
65,29052180
66,1937569
67,2001400
68,137332853
69,102504621
70,296782750
71,16987068371
72,1851233779
73,2466761867
74,1189436238
75,474505271
76,909115220
78,47852617
79,45928475
80,363186072
81,93846385
82,1023671608
83,432745140
84,58728366510
85,1.28784E+11
86,102340356
87,3723729135
88,7381295587
89,647836161
90,19212079108
91,1771716346
92,24541990
93,604769
94,334021279
95,532571699
96,288457021
97,332839535
99,26444975904
101,1374771
104,394055
106,1313139
201,3365671
202,30188263
203,3610516
204,6567141
206,14560088
207,19769356
208,13770
209,4124
210,540909
301,38653001
302,7946758
303,128272116
304,24107328
305,32200149
306,17427887
307,21275063
308,12256409
401,2637750
402,126935613
403,4392969
404,19099638
405,14209001
406,13949265
407,1736896
408,26585
409,7685015
410,86009732
501,1048118
502,3646
504,390476
505,1966443
507,96669
508,66432
511,9372528
601,71639
602,2476309
603,10493955
604,6518368
701,892034
702,165541
703,4455641
704,2273071
705,398859
706,1508345
707,7419
708,678023
709,3353504
710,1194220
711,232726
712,2444795
713,1563633
714,1141044
801,44398492
802,30666913
803,9064
804,4821229
805,10110010
806,6850510
807,277861
808,9272383
809,1819998
810,6147538
811,423242
812,4996
813,2088561
814,13881
901,51113375
902,27735227
903,420383
904,23255764
905,748506
906,1354632
907,79484624
908,12692396
909,2557391
910,9629176
1001,477201
1002,211
1003,52977
1004,193816
1005,134391
1006,23673123
1007,2454
1008,557326
1101,33963407
1102,659611
1103,239424
1104,2448995
1105,756428
1106,9244978
1107,148941
1108,17554057
1109,126537
1201,194047
1202,1810770
1203,248338
1204,46595
1206,95836
1207,2446678
1208,44054
1209,11556703
1210,2896
1211,54440025
1212,1488425
1213,227866
1214,66270
1301,5642895
1302,22683006
1401,6236180
1404,731785
