CommodityCode,ValueUSD
1,208539
3,370718
4,4639753
5,41721
6,52598
7,2712130
8,63673539
9,11005852
10,421801541
11,28283459
12,1135659
13,264111
14,10340
15,28531568
17,66147085
18,916907
19,12213169
20,18856736
21,582237
22,14701584
23,13468519
24,30307381
25,3675840
26,3252749
27,1016
28,352
29,17157108
30,8085755
31,45090
32,376944
33,147506
34,58435
35,83365
36,671506
37,190235
38,2349258
39,239544878
40,224558788
41,11219691
42,1104100743
43,289646427
44,151906421
46,471578
47,39989
48,15135953
49,2643711
50,3063
51,3690
52,2833007
53,6255
54,4457593
55,8492286
56,3302327
57,6349
58,1203640
59,22936888
60,24995835
61,6001441972
62,2285306412
63,134616938
64,1267883490
65,23569835
66,29794325
67,10943107
68,685868
69,535642
70,136520
71,438097474
72,1699207
73,49070990
74,34141492
75,25955
76,38265733
78,1275853
79,431467
80,3446
81,1766
82,560919
83,9197789
84,116402418
85,577480391
86,2912
87,442321404
88,3458
89,1027625
90,5782382
91,10595270
92,226975
94,420180695
95,40377730
96,16001736
97,301051
99,2802578
103,49986
106,158552
302,210902
304,15537
306,68383
307,75894
402,4639753
508,41721
602,40539
603,12059
709,113076
710,56595
712,2600
714,2539859
801,8045955
802,363
803,49450644
804,3094891
805,51098
807,22515
810,1412120
811,219370
813,1376579
901,26073
902,4275
904,9377256
909,641
910,1597605
1005,693940
1006,421107600
1102,1073303
1106,9016
1107,43524
1108,27157615
1201,2085
1202,272872
1207,504688
1211,309032
1212,46980
1301,256611
1302,7500
1401,2530
1404,7810
1509,37600
1511,24637154
1513,2948287
1518,908527
1701,54548609
1702,363969
1703,10842284
1704,392222
1805,915640
1806,1267
1901,434524
1902,4178788
1903,70415
1904,97580
1905,7431860
2001,8651
2006,9008865
2007,22124
2008,9600722
2009,216373
2102,472044
2103,18515
2106,91677
2201,132
2202,32686
2203,1521467
2204,71317
2206,20839
2207,12751480
2208,211386
2209,92275
2302,5122
2303,184161
2309,13279235
2401,11222700
2402,17937512
2403,1147168
2501,46709
2505,2963722
2513,9882
2515,285565
2516,235133
2523,134627
2530,199
2616,3252749
2703,683
2710,81
2711,251
2811,352
2902,3
2909,12234
2910,4856
2915,1524
2918,17021281
2922,2698
2930,7090
2933,107419
3001,10
3002,2908
3004,5094577
3005,1039670
3006,1948588
3105,45090
3204,46429
3208,273569
3210,26603
3211,229
3215,30110
3301,23148
3303,117531
3304,20
3305,1080
3306,1809
3307,3917
3401,14444
3402,43369
3404,602
3406,20
3505,52168
3506,22387
3507,8809
3604,671506
3701,190235
3808,2010343
3809,28494
3811,3461
3814,80669
3815,681
3822,17
3823,225590
3901,161676
3902,459788
3903,5774
3904,25057
3905,62998
3907,4576001
3908,905
3909,23470
3910,13
3915,2264877
3917,282340
3918,511768
3919,682425
3920,2843726
3921,2201400
3923,46771806
3924,121918
3925,164531499
3926,14017429
4001,219713467
4002,2371
4005,485
4008,2871
4009,37388
4010,190606
4011,53475
4012,668
4013,4995
4015,3387563
4016,1164894
4101,252899
4103,88726
4104,972545
4105,1592
4106,359134
4107,2223761
4113,6471362
4114,263111
4115,586558
4201,4655129
4202,1082421258
4203,16148712
4205,875642
4302,289616833
4303,29159
4304,434
4401,21735
4402,36948
4403,4320
4407,8302267
4408,596542
4409,16320977
4411,16595
4412,125726238
4414,20
4415,202382
4417,3168
4418,573654
4420,61439
4421,40131
4601,186334
4602,285243
4707,39989
4802,94721
4805,409217
4806,1877
4807,419
4808,234
4810,126852
4811,516299
4813,6046
4816,779
4817,2239792
4818,3161248
4819,7395267
4820,877290
4821,168180
4822,38723
4823,99003
4901,51566
4903,434350
4905,16219
4907,882461
4908,1079244
4909,20468
4910,8099
4911,151301
5002,20
5007,3043
5101,52
5112,3638
5204,1636385
5205,11493
5206,67549
5207,533
5208,287540
5209,346468
5211,464452
5212,18584
5305,6255
5401,3488710
5402,24743
5404,64482
5407,879657
5505,76974
5508,4243329
5509,594156
5510,103681
5513,29339
5514,36659
5515,3408146
5601,148720
5603,314333
5604,21701
5606,1404
5607,1327675
5608,835847
5609,652644
5704,6309
5705,40
5802,398
5804,10366
5806,236847
5807,183687
5808,7542
5810,764797
5901,22374528
5903,384791
5904,6074
5906,166544
5911,4950
6001,89059
6002,424778
6004,4488041
6005,11594263
6006,8399693
6101,129216753
6102,126676381
6103,661429819
6104,1202914269
6105,126599052
6106,83996841
6107,227099747
6108,430299828
6109,984053804
6110,1255729894
6111,415187483
6112,156410862
6113,35911505
6114,93195902
6115,29772502
6116,33425197
6117,9522126
6201,96105584
6202,58940240
6203,567089164
6204,847596295
6205,154215031
6206,103283900
6207,21293042
6208,61649104
6209,41760744
6210,128793351
6211,90321364
6212,98001781
6213,44294
6214,565499
6215,210778
6216,11379143
6217,4057090
6301,15203541
6302,39468888
6303,916606
6304,3149045
6305,28420701
6306,9055718
6307,33438229
6308,27853
6309,2413590
6310,2522763
6401,1225100
6402,297124667
6403,584665004
6404,339517575
6405,22388406
6406,22962735
6502,28921
6504,278461
6505,20437551
6506,792242
6507,2032657
6601,29793902
6603,422
6702,6776091
6704,4167016
6802,500789
6804,2112
6807,16999
6810,164287
6815,1680
6902,105270
6907,10930
6911,68624
6912,54139
6914,296677
7001,57747
7013,31434
7019,47338
7102,49470137
7108,388492059
7112,106689
7113,15782
7114,1095
7117,11710
7204,170547
7207,11203
7208,711894
7209,250
7210,533692
7216,2756
7217,3009
7222,265853
7303,230098
7304,216
7306,3536780
7307,10896169
7308,1246070
7309,1668
7310,11938952
7311,71036
7314,847303
7315,15446
7317,83
7318,102334
7319,59344
7323,17125781
7325,1152
7326,2998551
7401,15720579
7402,17183028
7403,198657
7404,44239
7407,17906
7408,164112
7409,780000
7415,389
7419,32578
7506,25955
7601,36240
7602,18138818
7606,17761
7607,7021
7608,11239686
7610,14993
7612,1725803
7614,981
7615,150
7616,7084276
7801,1274681
7804,1172
7901,431467
8003,3446
8108,1766
8201,96635
8202,903
8203,366
8204,37
8205,261059
8206,86975
8207,33011
8211,67412
8213,100
8214,14417
8301,25467
8302,2044513
8304,278869
8305,1844977
8306,69703
8308,511349
8309,4385127
8311,37781
8402,10007
8403,3202
8408,9601
8409,1666
8412,9040
8413,28166
8414,20262208
8415,3353148
8417,49284
8418,15509
8419,19958
8421,101903
8422,102552
8423,3469
8424,157192
8425,17731
8426,219818
8427,1073294
8428,45571
8429,124430
8430,15058
8431,2324
8432,47217
8433,984424
8437,13933
8438,3936
8441,341133
8443,438069
8444,1980
8445,27394
8446,52188
8447,834299
8448,374
8450,30378
8451,1520847
8452,1472561
8453,237931
8454,133950
8456,7369
8457,6466
8459,2680
8461,169783
8462,291862
8463,11936
8464,39765
8465,180236
8466,23290
8467,519
8471,16328228
8472,127345
8473,50130252
8474,128441
8475,1128208
8477,625955
8478,383723
8479,303600
8480,130385
8481,19828
8482,13427710
8483,902
8487,1168158
8501,91272673
8502,45534
8503,743450
8504,79420408
8507,217954
8508,1805
8509,16612262
8511,20397264
8512,19822
8514,2747154
8515,50496
8516,1172310
8517,39384651
8518,982238
8519,2431536
8523,11132
8525,668
8528,164318
8529,1693679
8530,98000
8531,4255041
8533,4194264
8534,4554707
8535,171142
8536,20335229
8537,1086989
8538,3986752
8539,67881
8541,25493332
8542,4851843
8543,5900741
8544,245108093
8547,6886
8548,122
8609,2912
8703,941031
8704,866395
8708,15807016
8711,7075953
8712,413263809
8713,840
8714,4330999
8716,35360
8803,3458
8903,1027625
9001,43861
9003,2123620
9004,256722
9008,14389
9013,7624
9015,81327
9017,796563
9018,1378255
9020,87469
9021,110223
9022,27801
9023,12164
9024,28480
9025,346533
9026,999
9027,32479
9030,59242
9031,371464
9032,2599
9033,558
9101,29730
9102,26406
9109,37672
9111,7799060
9113,2702137
9114,262
9201,226975
9401,108246389
9403,18380558
9404,58782649
9405,233986104
9406,784993
9503,16108883
9504,105796
9505,5556241
9506,15452065
9507,3132078
9508,22667
9603,10706424
9605,1430557
9606,36083
9607,444658
9608,3812
9609,75
9610,192
9615,307047
9616,3068995
9618,499
9619,3388
9701,31040
9703,247950
9705,22060
9999,2802578
10310,49986
10649,45
10690,158507
30229,210572
30279,330
30499,15537
30616,67774
30695,609
30721,54000
30751,20985
30759,609
30760,300
40299,4639753
50800,41721
60290,40539
60319,117
60390,11942
70930,2072
70960,14787
70999,96216
71022,37208
71080,19386
71239,2600
