CommodityCode,ValueUSD
1,5875670
2,12799328
3,4398347
4,40981401
5,1934539
6,3427010
7,3824783
8,10240304
9,5660593
10,55173368
11,95522079
12,3137019
13,4390189
14,44151
15,16246175
16,16399683
17,45718946
18,5851154
19,169890191
20,11537933
21,104932673
22,346857255
23,215589690
24,254713162
25,161510682
26,18346090
27,2368043688
28,38374457
29,54791205
30,231040980
31,216450761
32,78018497
33,93862423
34,72380378
35,41565289
36,2802015
37,1327078
38,182108354
39,755748521
40,192805071
41,306708528
42,30646399
43,266998871
44,208036748
45,453015
46,85471
47,278990
48,477477660
49,35487236
50,3383196
51,35949453
52,645933130
53,990586
54,130971717
55,1009892437
56,83218867
57,4174573
58,252611648
59,193720350
60,2682355386
61,24962086
62,86819966
63,122883087
64,182242025
65,2861658
66,11850427
67,910352
68,76528914
69,199002276
70,79763056
71,153256756
72,478441663
73,456389834
74,60760113
75,437568
76,371652039
78,763101
79,4202271
80,984177
81,4009902
82,32164283
83,149619932
84,1413952136
85,1071053469
86,17117553
87,2377573863
88,16927675
89,12347637
90,97929377
91,8853116
92,577299
93,1529374
94,151957018
95,58310226
96,233385833
97,1242919
99,1859861
102,242929
103,4281140
104,6400
105,1320725
106,24475
201,1930026
202,3845606
203,340454
204,594616
206,27156
207,4412641
208,690
210,1648136
301,1478399
302,892745
303,346709
304,420890
305,26217
306,563809
307,661174
308,8402
401,15769677
402,10519564
403,5754525
404,737072
405,3625313
406,3776932
407,532118
408,2664
409,263532
501,568
505,1933971
602,3006458
603,411142
604,9409
701,47442
702,6132
703,127705
704,243566
705,681
706,125819
707,110
708,3837
709,522495
710,1338333
711,162
712,721679
713,657808
714,29008
801,206274
802,178934
803,25218
804,836837
805,1080815
806,1312037
807,13606
808,2270841
809,1493464
810,2402107
811,231470
813,188694
901,4084640
902,1189030
904,201931
905,2103
906,3943
907,814
908,381
909,549
910,177198
1001,4924507
1003,829
1005,40962003
1006,9260823
1007,22755
1008,2449
1101,5837328
1102,1966711
1103,3161251
1104,121204
1105,241638
1106,94790
1107,83655980
1108,413092
1109,30080
1201,229812
1202,105236
1205,15841
1206,2849
1207,45584
1208,4453
1209,1750768
1210,522769
1211,45382
1212,414322
1301,37
1302,4390151
1404,44151
1501,13104
1502,796
1503,2210
1506,226311
1507,156236
1508,54713
1509,434793
1510,15354
1511,3592705
1512,2316182
1513,36723
1514,47885
1515,974454
1516,4225862
1517,2526607
1518,1578665
1521,43566
1601,2507051
1602,3742746
1603,5076
1604,8081411
1605,2063398
1701,23530587
1702,3450142
1703,5525
1704,18732691
1801,297883
1802,13668
1804,587
1805,205281
1806,5333734
1901,101399603
1902,29550326
1903,33186
1904,1028660
1905,37878414
2001,105158
2002,157988
2003,212736
2004,364263
2005,3372102
2006,38531
2007,2153468
2008,1573370
2009,3560314
2101,4573519
2102,489031
2103,30624820
2104,755409
2105,5160234
2106,63329658
2201,4633160
2202,299356861
2203,26054783
2204,2588101
2205,771984
2206,523254
2207,24145
2208,12480305
2209,424658
2301,7301608
2302,26020485
2303,12210653
2304,25544289
2305,397985
2306,23117620
2308,9707633
2309,111289413
2401,13448278
2402,233468404
2403,7796479
2501,4531522
2503,138562
2504,7145
2505,462745
2506,8402
2507,367993
2508,630921
2509,819
2510,162
2511,38371
2512,66836
2513,1356226
2515,19369
2516,40053
2517,437016
2519,546
2520,16423752
2521,2386876
2522,854449
2523,133075596
2524,43625
2525,7352
2526,537355
2529,9469
2530,65507
2601,26682
2603,17600075
2607,122553
2615,14301
2616,206965
2618,542
2619,1334
2620,5286
2621,368348
2701,403994448
2702,271740
2704,74248
2707,94562
2709,33173
2710,1723010133
2711,160857284
2712,159635
2713,8527613
2714,19806520
2715,233125
2716,50981201
2801,254080
2802,73146
2803,2740004
