Commodity Code,Trade Value (US$)
1,209754607
2,35769229
3,619081896
4,635480497
5,3815887
6,108002524
7,188177472
8,240165350
9,125186311
10,27762114
11,90302879
12,35380470
13,8517798
14,91458784
15,13477331919
16,299237834
17,286164522
18,1491101970
19,1246922571
20,141999226
21,1383509619
22,541319151
23,641664814
24,78313305
25,388451458
26,1218649498
27,26672202524
28,976677503
29,3432075140
30,330399632
31,590774323
32,599651148
33,411032382
34,979297004
35,151354438
36,14471747
37,136414277
38,3977319860
39,8184812302
40,11337652164
41,20445842
42,65211975
43,25629273
44,2334937407
45,70057
46,822306
47,383533113
48,931781445
49,242185194
50,392377
51,10005437
52,245996462
53,2956628
54,357427453
55,262815249
56,229424993
57,12125657
58,21680927
59,67073623
60,231356422
61,933191845
62,311145953
63,154074951
64,150429780
65,51422926
66,1280975
67,1966517
68,613426333
69,219391645
70,1290930165
71,1742108428
72,5163979255
73,2043962023
74,2163235049
75,156758004
76,3763923018
78,128789913
79,133793968
80,391596433
81,120355681
82,137968120
83,255243280
84,20181720478
85,86377899104
86,59752519
87,1947422990
88,2222110903
89,194415627
90,10995016860
91,264410552
92,218090965
93,4132429
94,3463536948
95,558598950
96,312959503
97,1969371
99,465727959
101,2854
102,342287
103,25198918
105,182842151
106,1368395
201,329459
202,2314279
203,4721503
204,250497
206,552603
207,21109486
208,11899
209,29975
210,6449526
301,23689189
302,32253871
303,117801009
304,47741182
305,17328698
306,249322531
307,92171119
308,38774292
401,13548545
402,231829979
403,10514095
404,5740363
405,21993259
406,7549270
407,125884246
408,1211835
409,1382053
410,215826847
501,58415
504,30405
505,2856628
508,23181
511,847257
601,389847
602,11735321
603,87365438
604,8511917
701,1779076
702,26715049
703,19265469
704,9112296
705,20016204
706,3986474
707,10168358
708,9625074
709,61005180
710,5562760
711,170586
712,15162633
713,4123771
714,1484535
801,17415595
802,3393439
803,8676364
804,19398094
805,8336969
806,1869775
807,22969333
808,2727085
809,104687
810,33694557
811,119446718
812,451027
813,1645815
814,35886
901,34733584
902,29180951
903,95182
904,34755665
905,11677
906,1039512
907,364572
908,2277651
909,2028525
910,20698988
1001,142720
1003,142404
1004,47196
1005,3415943
1006,23099584
1007,283212
1008,631053
1101,27917165
1102,2188136
1103,2802458
1104,26507821
1105,1190744
1106,17284430
1107,12728
1108,12302310
1109,97085
1201,6448799
1202,1145920
1204,1486
1206,4103
1207,13193179
1208,212198
1209,2453314
1211,4942132
1212,6293188
1213,650379
1214,35768
1301,4318920
1302,4198878
1401,1380566
1404,90078217
1502,35363596
1503,1647
1504,6986408
1505,109037
1507,107368639
1508,1847856
1509,54336
1510,1151755
1511,9775316450
1512,107856846
1513,913177261
1514,82055753
1515,38188123
1516,1639738010
1517,380700554
1518,358900501
1520,16997771
1521,512582
1522,11004785
1601,6295908
1602,114514425
1603,4623988
1604,143009074
1605,30794437
1701,107825476
1702,100860479
1703,2692689
1704,74785876
1801,242353865
1802,182810
1803,107435995
1804,598870708
1805,294425587
1806,247833003
1901,573754031
1902,96769121
1903,597920
1904,42890767
1905,532910730
2001,920298
2002,683175
2003,418425
2004,5684113
2005,23939825
2006,2651977
2007,16214442
2008,69908835
2009,21578131
2101,479995012
2102,8099312
2103,182476784
2104,12729459
2105,16786805
2106,683422244
2201,25160537
2202,254639384
2203,33069764
2204,31880629
2205,8231
2206,2352820
2207,370230
2208,191905282
2209,1932270
2301,56535940
2302,14978055
2303,224061
2304,27910314
2305,4617
2306,312532447
2308,7911902
2309,221567474
2401,419904
2402,51026681
2403,26866719
2501,7211441
2502,30665
2503,2850144
2504,302780
2505,71276108
2506,3741681
2507,8553274
2508,24498627
2509,12717
2510,108709
2511,441569
2512,24405
2513,3080940
2514,3164
2515,9841496
2516,3970520
2517,43829531
2518,72141
2519,609143
2520,2712428
2521,37686385
2522,53953376
2523,82357698
2524,1356
2525,1954297
2526,339758
2528,484119
2529,5201896
2530,23301078
2601,908526836
2602,53105365
2603,112046858
2604,200795
2606,11090040
2607,6714846
2608,20276582
2609,1057434
2610,2993
2611,230946
2612,498136
2613,10514053
2614,4399351
2615,48050782
2616,7974296
2618,29496915
2619,18304
2620,4351562
2621,93395
2701,2612132
2703,67705
2704,990120
2706,10603858
2707,625525624
2708,17232
2709,4696973705
2710,12781985551
2711,7629427182
2712,123424479
2713,421395617
2714,23987138
2715,236399164
2716,118793010
2801,1428698
2802,577160
2803,8925800
2804,288920145
2805,13373
2806,1637477
2807,10073934
2808,2634837
2809,1058373
2810,835425
2811,45091701
2812,5625676
2813,1065516
2814,148696509
2815,10796878
2816,81285
2817,13708092
