CommodityCode,ValueUSD
1,13342760
2,93664827
3,176900954
4,252577927
5,12509080
6,15793976
7,29490731
8,121518012
9,136960335
10,47461867
11,61296129
12,67772583
13,29381330
14,11813946
15,273375101
16,73006016
17,81231983
18,745425464
19,1224229565
20,104510517
21,6034238687
22,2288588972
23,310648696
24,674887747
25,35590963
26,11840465
27,30231843316
28,674162091
29,11449249970
30,8920602268
31,14479691
32,1214257209
33,9553144726
34,1046388198
35,407591375
36,33272829
37,154128695
38,5907882106
39,12903507916
40,1555499392
41,57691508
42,1537521659
43,3618981
44,52836948
45,907696
46,1514929
47,491615124
48,1380058308
49,539032348
50,2486354
51,3878882
52,20533435
53,1108059
54,181856062
55,222779794
56,71520301
57,10302959
58,17340741
59,87640470
60,71586932
61,511394340
62,505227147
63,269513413
64,456241151
65,34162174
66,486541
67,2800593
68,114293255
69,69411157
70,398523161
71,20349898358
72,1267906463
73,1981510953
74,612123424
75,234807661
76,671701258
78,36257523
79,75432755
80,301918991
81,73832983
82,783959854
83,365264816
84,58090310351
85,1.31904E+11
86,107679929
87,3203858300
88,5505934542
89,164334225
90,20767718698
91,1542528679
92,22527737
93,414419
94,221148946
95,471637425
96,226642575
97,303299059
99,20285611661
101,1247333
105,13472
106,12081953
201,1668861
202,24727598
203,14769749
204,7174813
206,4343186
207,40395166
208,6478
209,183455
210,395519
301,31842488
302,11462479
303,63346077
304,19833184
305,16944664
306,14533201
307,12673051
308,6265807
401,4660346
402,132424998
403,8941411
404,33296257
405,8976294
406,18034060
407,2198335
408,10196
409,2878465
410,41157561
501,133233
502,3100
504,1829328
505,1812024
508,34826
510,869
511,8695696
601,59391
602,4632537
603,6336340
604,4765707
701,869695
702,113185
703,13155203
704,2376064
705,69042
706,1915952
707,36781
708,665517
709,3463982
710,1107951
711,282452
712,1602258
713,2440088
714,1392555
801,40991332
802,43230123
803,39208
804,3813610
805,8197943
806,6228304
807,517361
808,8125104
809,1774732
810,6890732
811,413992
812,9135
813,1284793
814,1635
901,36277641
902,30693707
903,456430
904,6703580
905,109627
906,1423509
907,25698496
908,24264624
909,2114113
910,9218604
1001,7441
1002,2995
1003,141630
1004,144498
1005,391759
1006,46163615
1007,2176
1008,607751
1101,34368612
1102,835991
1103,270616
1104,1670891
1105,444664
1106,10240417
1107,71367
1108,13289723
1109,103844
1201,349895
1202,703717
1203,100653
1204,35273
1206,146683
1207,2559557
1208,67726
1209,7529659
1210,17255
1211,53385520
1212,2604317
1213,164663
1214,107658
1301,4637355
1302,24743974
1401,8346184
1404,3467762
1501,81
1502,42619
1504,561665
1505,297570
1506,22392
1507,4462960
1508,41184
1509,1282563
1510,58920
1511,47152571
1512,20562234
1513,3954344
1514,11522836
1515,27434236
1516,42775648
1517,95214733
1518,17221383
