CommodityCode,ValueUSD
1,2433933
2,76954173
3,236047793
4,277162318
5,14495763
6,16820614
7,20739535
8,107476286
9,144796265
10,37586492
11,64019584
12,75348334
13,31345223
14,7809665
15,269280964
16,75359053
17,77261857
18,754949984
19,1631080012
20,110950394
21,5404750188
22,3006832053
23,251548211
24,1129990951
25,53153969
26,44853873
27,47874524955
28,578267980
29,12870817806
30,8105878213
31,22270676
32,1405106182
33,9671295760
34,1000912236
35,358721324
36,56083442
37,170294063
38,6473333072
39,14603445566
40,1886804002
41,93659554
42,1763685805
43,3721039
44,88019592
45,1069254
46,1137584
47,673148080
48,1507732869
49,588080225
50,3531197
51,4989645
52,28057970
53,648983
54,212203481
55,90464988
56,55726047
57,10553576
58,19555227
59,96644051
60,73309913
61,649041051
62,631521457
63,109071787
64,579770665
65,28174500
66,1624005
67,2792687
68,121861577
69,95993544
70,299680370
71,17762120664
72,1589127963
73,2254747631
74,736341380
75,493760942
76,748071393
78,35158411
79,37222757
80,298325285
81,89836720
82,933436551
83,418758513
84,59299553165
85,1.20674E+11
86,115133122
87,3506183718
88,7956573096
89,819402703
90,20931036984
91,1785815576
92,22682369
93,1659351
94,300218543
95,565862732
96,268641307
97,326541860
99,21525512056
101,1490888
102,915
106,942129
201,2443000
202,21617301
203,11779782
204,7742381
206,9463747
207,23418494
208,17720
209,2510
210,469235
301,35401470
302,7952120
303,100984670
304,22852101
305,23108708
306,15981516
307,16405462
308,13361741
401,2188696
402,144733693
403,7081907
404,27473080
405,15076752
406,16427069
407,3354551
408,29492
409,3559835
410,57237239
501,56528
502,6024
504,1904621
505,2723428
507,1970
508,21805
511,9781384
601,15578
602,80854
603,9710772
604,7013408
701,715295
702,128651
703,6560681
704,1818083
705,88725
706,1429027
707,9857
708,753036
709,3625611
710,793693
711,217071
712,1893769
713,1467455
714,1238575
801,30572642
802,34600407
803,58334
804,5305503
805,9342778
806,7296564
807,439052
808,9622349
809,1638721
810,6593774
811,370405
812,1319
813,1621344
814,13086
901,42159920
902,27397928
903,611678
904,7230812
905,165246
906,1199217
907,28393228
908,26169417
909,2420008
910,9048807
1001,950537
1002,14034
1003,38316
1004,174804
1005,420122
1006,35617495
1007,2223
1008,368956
1101,37271228
1102,667366
1103,256522
1104,1497273
1105,1682793
1106,7594237
1107,117437
1108,14633337
1109,299386
1201,223334
1202,397840
1203,104540
1204,45787
1206,97420
1207,2291738
1208,61077
1209,10170588
1210,37619
1211,58869644
1212,2769459
1213,221961
1214,57320
1301,6096876
1302,25248346
1401,7290138
1404,519526
1501,2382
1502,115501
1504,432353
1505,6260861
1506,323
1507,4893742
1508,1635262
1509,1341079
1510,165777
1511,32614084
1512,4017937
1513,26250400
1514,10849621
1515,32703489
1516,40097702
1517,98755751
1518,8242048
1520,886526
1521,7806
1522,8309
1601,2949108
1602,7944791
1603,215938
1604,37310029
1605,26939185
1701,29030512
1702,7948562
1703,69277
1704,40213504
1801,373847
1802,89202
1803,16444709
1804,149890796
1805,100858759
1806,487292669
1901,1482939338
1902,61803443
1903,735640
1904,5054122
1905,80547466
2001,1069496
2002,1541213
2003,1560760
2004,633514
2005,16853656
2006,5078930
2007,2765690
2008,38909638
2009,42537493
2101,72353570
2102,2958046
2103,132475357
2104,1993661
2105,2717641
2106,5192251910
2201,1220003
2202,64028287
2203,127665206
2204,517865533
2205,855039
2206,5619159
2207,15374888
2208,2272627925
2209,1576007
2301,523366
2302,15446303
2303,928534
2304,99920
2305,2170
2306,594928
2307,343914
2308,1044922
2309,232564150
2401,38114374
2402,1073485008
2403,18391568
2501,16055828
2503,18827194
2504,121655
2505,403447
2506,723998
2507,204735
2508,2799643
2509,35837
2510,34020
2511,1657613
2512,389664
2513,530007
2514,919
2515,196127
2516,74489
2517,289466
2518,3117
2519,1822413
2520,282092
2521,114019
2522,823650
2523,4789247
2525,165919
2526,1291625
2529,26671
2530,1490563
2601,98457
2602,14290769
2603,748604
2604,339376
2606,20213
2607,6377
2608,9803
2609,1053260
2610,233
2611,4836931
2613,417591
2616,100004
2617,68
2618,498534
2619,585593
2620,20914213
2621,933839
2701,294655
2703,2120
2704,40185
2705,336690
2706,49
2707,455309986
2708,13193
2709,14607
2710,45882931230
2711,302726140
2712,78990950
2713,1007158710
2714,6412474
2715,140293958
2801,11597226
2802,11198455
2803,47543534
2804,79301033
2805,6108028
2806,8457288
2807,2877395
2808,1964242
2809,1816773
2810,67263
2811,47589273
2812,13173388
2813,27267223
2814,4755129
2815,6977213
2816,644331
2817,2148737
2818,5067207
2819,538160
2820,555424
2821,2295554
2822,1416725
2823,473668
2824,141109
2825,17023447
2826,4235640
2827,7097787
2828,2372885
2829,3979170
2830,1842400
2831,126722
2832,864359
2833,17933994
2834,1592284
2835,5357803
2836,14163582
2837,528377
2839,1585894
2840,429802
2841,1500948
2842,468987
2843,141345913
2844,12582658
2845,573297
