CommodityCode,ValueUSD
1,7002695
2,68661546
3,5771043979
4,175412952
5,73335117
6,78748661
7,413537211
8,5087836190
9,3166060236
10,2930514514
11,988860524
12,207223562
13,62610628
14,30892922
15,248505960
16,2512418904
17,201275961
18,22555929
19,780373336
20,929787163
21,837126556
22,245520567
23,793774370
24,232072411
25,1773135609
26,133295828
27,2672021284
28,1056600314
29,581293836
30,206195917
31,328850861
32,153310515
33,324324963
34,686716423
35,190353657
36,2365427
37,1486144
38,947114886
39,5161177590
40,4684683662
41,326584318
42,2817095047
43,1264496
44,3504260765
45,901705
46,302150795
47,16941690
48,1392392438
49,95246019
50,74507682
51,17740796
52,2707568089
53,30371317
54,979956223
55,522073880
56,426752703
57,284064237
58,119030040
59,584394972
60,1134208499
61,13700826898
62,13329805832
63,3188383708
64,17253935683
65,452887709
66,18641235
67,58861571
68,620584499
69,565031970
70,881413984
71,2754796620
72,5339979332
73,3072627915
74,1229135883
75,18954032
76,1419204615
78,66692440
79,15015676
80,8481940
81,51084579
82,704221963
83,608347439
84,18416120894
85,1.11093E+11
86,4436246
87,3157263630
88,449558050
89,953242367
90,3557464555
91,39697182
92,29060082
93,14600
94,11982026304
95,2886424178
96,515936038
97,4324779
99,2888636218
102,818728
105,408368
106,5775598
201,10516
202,949047
203,29054751
204,540
206,3375212
207,24041917
208,8947333
210,2282229
301,16401331
302,23607159
303,323106317
304,2340289235
305,278811581
306,2258012196
307,522233909
308,8582249
401,1203506
402,71396031
403,12637637
404,1062220
405,2893310
406,3962873
407,1264912
408,3510560
409,70663086
410,6818812
501,26173
505,38658120
506,5701
507,7600
508,6082034
511,28555486
601,144111
602,25374519
603,49117042
604,4112987
701,687203
702,690626
703,7202799
704,16682425
705,723908
706,12371059
707,21947
708,4210365
709,61881653
710,40775435
711,13520474
712,32451630
713,10107139
714,212210543
801,3001591105
802,92959589
803,162185548
804,183907641
805,53287008
806,628626
807,37442648
808,230263
809,532860
810,1412577960
811,115568576
812,17517754
813,9389377
814,17226
901,1976606335
902,198925529
904,653956000
905,6763
906,238092315
907,1308611
908,21230200
909,46327494
910,29606985
1001,11858413
1003,21156
1005,127327736
1006,2790951386
1008,355821
1101,70186283
1102,11402488
1103,529337
1104,166836
1105,35253
1106,30660948
1107,8145510
1108,867733865
1201,373545
1202,65912902
1203,952253
1205,63000
1206,14749
1207,38530248
1208,3429628
1209,12909835
1210,1623
1211,46862073
1212,26650236
1213,11393638
1214,129827
1301,2509271
1302,60101357
1401,16002895
1404,14890026
1502,525782
1504,40224974
1507,19696658
1508,513096
1509,73608
1510,159205
1511,54605182
1512,43084
1513,30996337
1514,424747
1515,17428318
1516,1967686
1517,36128978
1518,40017672
1521,5694731
1522,5896
1601,532908
1602,26630180
1603,3514435
1604,717544717
1605,1764196663
1701,1470338
1702,115864370
1703,7276635
1704,76664616
1801,4220247
1803,2628864
1804,11842
1805,507425
1806,15187549
1901,172056456
1902,352048290
1903,398471
1904,21057725
1905,234812391
2001,29344847
2002,795968
2003,6931440
2004,34906461
2005,47193007
2006,13407549
2007,20256797
2008,620431207
2009,156519883
2101,468874852
2102,16725267
2103,96064260
2104,1890008
2105,634316
2106,252937850
2201,550744
2202,121941711
2203,71845122
2204,486459
2205,298008
2206,6237106
2207,24050062
2208,19900635
2209,210715
2301,172929422
2302,69959073
2303,14578168
2304,39617212
2305,26281
2306,12245363
2308,7501607
2309,476917240
2401,13649158
2402,181631227
2403,36792025
2501,2873689
2503,8922630
2504,1662212
2505,14860274
2506,3621115
2507,4754596
2508,7270
2510,6422147
2511,2510544
