CommodityCode,ValueUSD
1,24131605
2,1049533674
3,494136780
4,1151084982
5,14780212
6,1991199
7,165944055
8,667568354
9,138318036
10,2794436718
11,233967006
12,188511842
13,36917015
14,2028636
15,1004763584
16,105271085
17,418589730
18,176915350
19,593211650
20,299659575
21,1617484229
22,530183351
23,1570528887
24,275755827
25,662735823
26,652095363
27,8290775112
28,474723462
29,1206105486
30,1772237939
31,706653951
32,426949444
33,969467521
34,489814052
35,254458027
36,20102856
37,29112454
38,1501595011
39,3345259393
40,618658471
41,59832859
42,178586364
43,5692559
44,598835110
45,4747765
46,4786478
47,73720376
48,1221184340
49,187018301
50,1944914
51,3609589
52,95092384
53,24616110
54,231192731
55,144981587
56,139712852
57,17027686
58,75665126
59,136810034
60,239968993
61,177974684
62,254041080
63,229751529
64,316815708
65,40127824
66,12601130
67,7312968
68,267468904
69,697109630
70,268693233
71,233523934
72,3481625311
73,1836387132
74,656835485
75,28171339
76,364633100
78,86649590
79,19113906
80,36205967
81,47629768
82,193766586
83,270584377
84,9704398469
85,26997926651
86,117081172
87,5385244458
88,957008248
89,240901518
90,1924721545
91,148277917
92,13294623
93,136524433
94,729605838
95,260107657
96,502040970
97,1160461
102,19636377
103,1752789
104,1541954
105,1143546
106,56939
201,4596064
202,381382302
203,139538576
204,3563178
206,155071379
207,321714694
209,43111277
210,556204
301,8357
302,9545
303,380642703
304,49212654
305,443598
306,9183849
307,54545110
308,90964
401,85903522
402,563898311
403,123775243
404,89843550
405,144892765
406,132883335
407,609995
408,6848601
409,2372219
410,57441
501,201
504,10973321
505,1375980
506,35965
508,30958
511,2363787
601,245706
602,703973
603,929737
604,111783
701,12862699
703,42451602
704,170938
705,174896
706,2105
708,6804
709,4694004
710,6335879
711,473329
712,20772928
713,77531269
714,467602
801,6909108
802,7615222
803,109118
804,642460
805,176923055
806,141457649
808,311150436
809,196723
810,13752915
811,5344392
812,2480714
813,961524
814,25038
901,83089791
902,8519286
904,25388282
905,160805
906,611161
907,64513
908,498463
909,982239
910,19003496
1001,1628023505
1003,3587021
1004,2420986
1005,216391996
1006,921840531
1007,17598065
1008,4574614
1101,9603637
1102,25748599
1103,3859651
1104,12148374
1105,23972115
1106,1430822
1107,48142502
1108,103484435
1109,5576871
1201,68708412
1202,31922531
1203,29891968
1204,383640
1205,16222
1206,3158936
1207,8778428
1208,376408
1209,29669909
1210,1413520
1211,1958764
1212,9121580
1213,12763
1214,3098761
1301,2795443
1302,34121572
1401,31716
1404,1996920
1501,1493588
1502,30028294
1504,1392602
1505,66535
1506,578284
1507,15462010
1508,31533
1509,9618537
1510,982585
1511,55915586
1512,18430964
1513,29187344
1514,40556925
1515,7214465
1516,34144735
1517,26729145
