CommodityCode,ValueUSD
1,57709123
2,863775567
3,964741435
4,959098662
5,24637040
6,15771770
7,832053708
8,785202257
9,618266585
10,1638827912
11,455016346
12,541643102
13,64534637
14,4268600
15,1634857766
16,139313869
17,793288827
18,1129213644
19,777328026
20,388899379
21,1062475840
22,637701290
23,1086944225
24,281361030
25,510623265
26,2547776989
27,29832227290
28,2317569869
29,3829836891
30,1646547663
31,817837011
32,817401840
33,1188940196
34,641993668
35,322647692
36,36905989
37,108636222
38,3708039666
39,8935117334
40,3607998269
41,76162974
42,532447727
43,51917205
44,765654759
45,1119769
46,4799312
47,421800326
48,1979410673
49,199908208
50,4575986
51,24917164
52,517964073
53,2893319
54,336165974
55,155500299
56,220188030
57,95524071
58,48656666
59,171696628
60,131786628
61,859878420
62,650430275
63,418078754
64,625615844
65,30455120
66,7449697
67,16450079
68,313491852
69,371261531
70,948922316
71,3983766619
72,6614021225
73,2761829199
74,3520742265
75,451405125
76,3639330090
78,84303082
79,307409035
80,163800187
81,172367768
82,418673254
83,418130177
84,20779028796
85,55870172666
86,154824290
87,6486879350
88,3097668578
89,187368412
90,5646738941
91,555941995
92,57779790
93,19582858
94,1088706617
95,509130024
96,370807104
97,37755835
99,1020177896
101,36917
102,27910117
103,75916
104,10423199
105,16044737
106,3218233
201,20739248
202,445813461
203,52312236
204,164026808
206,18572561
207,160203146
208,233326
209,1000486
210,874292
301,12095412
302,183100144
303,249867483
304,147716684
305,37602447
306,153916885
307,140569298
308,39873079
401,63797886
402,507671563
403,40772700
404,98988861
405,106233345
406,127668913
407,463404
408,1952934
409,11320167
410,228885
502,23201
504,13225449
505,2888076
506,637038
507,111162
508,186839
510,138860
511,7426412
601,617665
602,6257642
603,7966953
604,929509
701,77659987
702,1007441
703,303370869
704,123275510
705,4300932
706,47047464
707,2537271
708,7879766
709,85189396
710,31577067
711,5189386
712,47453520
713,66318358
714,29246736
801,78477230
802,62500084
803,14822440
804,82085448
805,167953595
806,98256247
807,6072542
808,154982618
809,20817665
810,74661799
811,5344550
812,266044
813,18939845
814,22143
901,273917168
902,96743880
903,275926
904,101046771
905,316035
906,6366414
907,4315659
908,8005333
909,36852335
910,90427059
1001,383801232
1002,19103
1003,2474201
1004,5309216
1005,786826770
1006,452615986
1007,399676
1008,7381724
1101,39600251
1102,24269650
1103,116981616
1104,21790016
1105,50412113
1106,10557773
1107,20672262
1108,162347213
1109,8385446
1201,313657046
1202,65652669
1203,366707
1204,363585
1205,15487983
1206,4240328
1207,45613444
1208,2093682
1209,20175409
1210,42106
1211,63318287
1212,7943615
1213,368177
1214,2320058
1301,8105719
1302,56428918
1401,1213503
1404,3055096
1501,516114
1502,21158909
1504,18596600
1505,279684
1507,67019636
1508,4242914
1509,12502838
1510,709656
1511,549216242
1512,121860246
1513,343249112
1514,68716884
1515,73223488
1516,164375633
1517,28456125
1518,136813330
1520,22711381
1521,1202160
1522,6804
1601,1634324
1602,11430548
1603,2326354
1604,83891750
1605,40030892
1701,629802421
1702,88803111
1703,9572289
1704,65111005
1801,826732268
1802,3678284
1803,99435509
1804,14751581
1805,22206950
1806,162409049
1901,437007299
1902,141364727
1903,9538878
1904,30478669
1905,158938451
2001,3526943
2002,17200039
2003,15596303
2004,96320998
2005,36645353
2006,13428807
2007,26850751
2008,128766775
2009,50563406
2101,120957323
2102,18388583
2103,149433759
2104,4524951
2105,56420764
2106,712750458
2201,9230925
2202,82235815
2203,28100380
2204,92842452
2205,163564
2206,6033524
2207,12918263
2208,399671690
2209,6504673
