CommodityCode,ValueUSD
1,201841004
2,25922340
3,648700114
4,586282989
5,9959086
6,142763858
7,184261124
8,215842464
9,123794947
10,13033963
11,99145266
12,32287923
13,9261830
14,81447633
15,11732896095
16,336126972
17,226695874
18,1592860353
19,1461079251
20,160326842
21,1427494418
22,706389034
23,521606998
24,137378651
25,471503769
26,1520505996
27,34702659788
28,956922876
29,4242217198
30,306245389
31,651180502
32,719196622
33,468010194
34,1012325371
35,186188923
36,16326165
37,171336502
38,4397498824
39,9593855085
40,7155595607
41,22809233
42,70234378
43,82419194
44,3008444394
45,305142
46,1263045
47,213974830
48,1108672293
49,311415525
50,559632
51,26568201
52,333756140
53,5345749
54,401077529
55,344713032
56,251034507
57,19540365
58,19459705
59,89027242
60,281436295
61,1033157126
62,355754896
63,179263151
64,163341127
65,56793888
66,1481691
67,785709
68,680012390
69,246462977
70,1314104889
71,2724321170
72,4844146833
73,2202373103
74,2928677345
75,426536715
76,3756628918
78,187224740
79,137553298
80,470557336
81,73695525
82,154546402
83,288926075
84,21828440967
85,82051477146
86,80672326
87,2190611638
88,2128460864
89,261782513
90,10388722991
91,261944079
92,210996410
93,1396891
94,3109083047
95,458756260
96,376695026
97,3355806
99,792140073
102,271548
103,13725153
105,184970681
106,2873620
201,708273
202,2229512
203,4341908
204,139510
206,1306601
207,16716855
208,55715
210,423964
301,28794654
302,29544549
303,70552754
304,46636806
305,21943835
306,316749340
307,90263291
308,44214882
401,7974753
402,252764223
403,7218495
404,4388177
405,24946124
406,5200370
407,145532764
408,1718611
409,997829
410,135541638
501,49998
504,16557
505,7991557
506,407988
508,348331
511,1144653
601,467998
602,18015868
603,113060617
604,11219372
701,1462361
702,28884927
703,14706694
704,8505116
705,18188261
706,3555731
707,9889783
708,11025604
709,60643647
710,8567334
711,123395
712,13951184
713,3696413
714,1060668
801,15028826
802,7350304
803,7543679
804,15540176
805,8592098
806,4366498
807,29543408
808,2268136
809,151610
810,41472275
811,81760470
812,436049
813,1656585
814,132344
901,26499273
902,33110433
903,106318
904,38555078
905,272595
906,1072619
907,663078
908,2088902
909,1651584
910,19775062
1001,172495
1003,67894
1004,81785
1005,1628622
1006,10830637
1007,133642
1008,118884
1101,39278810
1102,2159253
1103,2913038
1104,23585928
1105,1615577
1106,16802943
1108,12693696
1109,96018
1201,6331936
1202,1655104
1203,1600427
1204,13191
1206,18645
1207,1841133
1208,4945550
1209,2801843
1211,5906245
1212,6827760
1213,346084
1301,4565406
1302,4696423
1401,2390530
1404,79057103
1501,4645
1502,22865503
1504,3267803
1505,232134
1506,40135
1507,108164524
1508,1331486
1509,23714
1510,373541
1511,8596597144
1512,99272562
1513,638757295
1514,75513653
1515,37909379
1516,1497722704
1517,413269108
1518,202333446
1520,22963182
1521,2413933
1522,9840193
1601,9004205
1602,135274592
1603,3176498
1604,143453901
1605,45217773
1701,43004625
1702,84571411
1703,767302
1704,98352535
1801,259597460
1802,36299
1803,135956367
1804,613259085
1805,275244278
1806,308766862
1901,615853392
1902,81386309
1903,2086454
1904,63760838
1905,697992256
2001,1252935
2002,893113
2003,483031
2004,8238983
2005,23326300
2006,2992528
2007,20960084
2008,75296779
2009,26883084
2101,522943536
2102,9465608
2103,181424669
2104,15162903
2105,17657376
2106,680840322
2201,33535571
2202,305493689
2203,61549125
2204,25564357
2205,181557
2206,3524665
2207,8596164
2208,266249242
2209,1694661
2301,53343088
2302,17052265
2303,729584
2304,17742848
2306,255016465
2308,13138687
2309,164584058
2401,265170
2402,93350007
2403,43763474
2501,3767606
2502,22052
2503,1446967
2504,387847
2505,35169750
2506,687166
2507,11200831
2508,25943894
2509,15376
2510,446375
2511,317555
2512,39490
2513,2528974
2515,293404
2516,9470218
2517,84557602
2518,129235
2519,361934
2520,3597025
2521,51586588
2522,48031497
2523,147874691
2525,2792431
2526,483852
2528,355840
2529,6185942
2530,33809614
2601,1009308242
2602,68134450
2603,250470112
2604,109538
2605,985115
2606,26163484
2607,12178598
2608,221194
2609,796828
2610,3467
2611,612425
2612,235535
2613,14275662
2614,3717014
2615,34346244
2616,65098559
2618,27479735
2619,462355
2620,5649574
2621,257856
2701,5542545
2702,46265
2703,328075
2704,1168685
2706,2255031
2707,477723817
2708,31592
2709,7029151841
2710,14919451210
2711,10928213632
2712,140022514
2713,638683907
2714,17797191
2715,412366937
2716,129876540
2801,2073800
2802,903121
2803,8660393
2804,217984836
2805,3686345
2806,1546759
2807,10628213
2808,3308503
2809,750079
2810,272537
2811,47830772
2812,4158471
2813,384763
2814,133601214
2815,11107916
2816,104363
2817,14587733
2818,973203
2819,18884
2820,2152293
2821,449825
2822,6459652
2823,924372
2824,68297
2825,27112874
2826,3108287
2827,8180336
2828,1602733
2829,1087514
2830,327276
2831,99910
2832,248330
2833,12488411
2834,3740149
2835,25322506
2836,63476031
2837,7375
2839,2855870
2840,16067173
2841,3120030
2842,48827805
2843,2340789
2844,1110549
2845,140479
2846,249694973
2847,699747
2849,6869648
2850,2725261
2853,3032451
2901,375919938
2902,651810195
2903,5904715
2904,316342
2905,1177677852
2906,39835603
2907,2447215
2909,103499054
2910,1028178
2911,7973
2912,34494669
2913,1003936
2914,3125173
2915,753688509
2916,223808098
2917,233387191
2918,3434829
2919,114166
2920,91366
2921,2276936
2922,58859794
2923,2911122
2924,30465082
2925,22662
2926,271920
2927,386019
2928,1021934
2929,3301075
2930,306762470
2931,9702928
2932,42574195
2933,1862058
2934,5174755
2935,153829
2936,17855210
2937,24444456
2938,110508526
2939,354897
2940,59116
2941,9749538
2942,1903652
3001,127658
3002,5188554
3003,4842990
3004,201554116
3005,77066364
3006,17465705
3101,5451243
3102,571019881
3103,848124
3104,13610400
3105,60250852
3201,364653
3202,5093925
3203,3772610
3204,21783474
3205,226491
3206,154463754
3207,8662861
3208,222402351
3209,41422389
3210,4507029
3211,2350312
3212,74792187
3213,999726
3214,115358346
3215,62996507
3301,5040458
3302,138927103
3303,19914765
3304,150883180
3305,40874354
3306,45944583
3307,66425747
3401,564158333
3402,323037565
3403,28706321
3404,81813929
3405,6797445
3406,6326554
3407,1485219
3501,352874
3502,284684
3503,254033
3504,2134770
3505,6137132
3506,155089272
3507,21936153
3601,9001
3602,3797428
3603,9962217
3604,1033082
3605,320389
3606,1204046
3701,68429283
3702,74316608
3703,2813801
3704,5921
3705,1053813
3707,24717073
3801,33898873
3802,58387874
3803,281806
3804,89915
3805,109469
3806,296846
3807,47393
3808,230946970
3809,22912056
3810,18693221
3811,7953074
3812,122704173
3813,133919
3814,18089818
3815,210854252
3816,24535963
3817,44890
3818,404885092
3819,1338921
3820,1419633
3821,1026429
3822,7596780
3823,1880649388
3824,856816061
3825,512759
3826,493273236
3901,2041369769
3902,927906203
3903,888425170
3904,95232068
3905,108568844
3906,348567728
3907,1200235691
3908,132928268
3909,114187142
3910,29052819
3911,46825878
3912,3109302
3913,3670612
3914,753670
3915,21305998
3916,19338032
3917,130315611
3918,26789847
3919,202693507
3920,1060628752
3921,186596192
3922,12459062
3923,1047709251
3924,101761495
3925,75968782
3926,767455378
4001,910788308
4002,851298571
4003,15783747
4004,1417821
4005,49882862
4006,1620516
4007,129416570
4008,56301919
4009,184890179
4010,8581588
4011,335712148
4012,40952806
4013,2876216
4014,97206062
4015,4246504231
4016,221987768
4017,374287
4101,2800225
4102,20173
4103,4058997
4104,189562
4106,256936
4107,1661247
4112,11902975
4113,1854124
4115,64990
4201,39565
4202,53952044
4203,11704297
4205,4533332
4206,5138
4301,576322
4302,78640527
4303,2935788
4304,266555
4401,160464536
4402,28839347
4403,183360234
4404,6325254
4405,849812
4406,8613864
4407,815658622
4408,41383870
4409,210538667
4410,88616146
4411,256024199
4412,821273581
4413,2754242
4414,30675287
4415,85800080
4416,71688
4417,1249550
4418,250262890
4419,1132181
4420,5187045
4421,9363286
4502,9555
4503,125888
4504,169698
4601,724626
4602,538419
4702,183469172
4703,5692346
4704,11967
4706,23366277
4707,1435065
4801,40122664
4802,50008299
4803,3825050
4804,14668577
4805,78867525
4806,393778
4807,2512112
4808,13636351
4809,1518226
4810,19706830
4811,267263829
4812,112372
4813,28608930
4814,2561110
4816,1561183
4817,13471672
4818,199406360
4819,177576581
4820,77212280
4821,34783266
4822,2320603
4823,78534684
4901,169711524
4902,1336771
4903,6893882
4904,638797
4905,158363
4906,417703
4907,67784864
4908,257282
4909,817458
4910,2250209
4911,61148666
5001,29302
5002,4502
5003,5650
5007,520178
5101,9885561
5103,439326
5105,6312217
5106,176199
5107,4853610
5109,43138
5111,2060
5112,314210
5113,4541876
5201,59317866
5202,1216808
