CommodityCode,ValueUSD
1,11518031
2,35259641
3,40376561
4,42941531
5,4969
6,2389059
7,28537129
8,42860482
9,6586783
10,33982580
11,13256521
12,2106834
13,233835
14,1770
15,15357291
16,19188115
17,9117460
18,9978643
19,57274144
20,16620362
21,38042563
22,37364109
23,46173199
24,18082
25,55488218
26,5155956
27,275193645
28,24553169
29,28068814
30,78028660
31,2332539
32,34796154
33,18766553
34,18635853
35,2571553
36,673734
37,362793
38,46533965
39,42702098
40,35019225
41,3238
42,7794143
43,7907
44,13218107
45,14457
46,143187
47,224613
48,26564566
49,9566303
50,1787221
51,20788
52,2521903
53,21431
54,2010468
55,2183345
56,5171831
57,1998219
58,2578459
59,1568398
60,2227990
61,12661789
62,17227844
63,7688801
64,9165285
65,857645
66,289416
67,456839
68,77454220
69,15879765
70,6250653
71,2515803
72,130280472
73,719880996
74,8388087
75,7493158
76,38125547
78,363077
79,625301
80,21228
81,63432
82,22006689
83,16117052
84,1009925973
85,277385853
86,2582154
87,235883194
88,68244931
89,4478702
90,126470145
91,7006131
92,451163
94,42887815
95,13945267
96,15951370
97,96901
99,7230487
101,395926
102,8135124
104,20311
105,1687340
106,1279327
201,755374
202,15668288
203,7491170
204,6768411
206,542553
207,3944121
208,2133
209,81074
210,6513
301,2874502
302,15816951
303,6214215
304,2307562
305,2042226
306,6517389
307,4576480
308,27233
401,3299907
402,18282966
403,5000138
404,1414575
405,5334492
406,5255793
407,3370014
408,332785
409,650445
410,412
501,1867
511,3101
601,113327
602,698779
603,1263343
604,313609
701,1453199
702,1456139
703,3585521
704,4314048
705,1827548
706,1801276
707,169972
708,357496
709,7342746
710,2862877
711,112924
712,1776320
713,946084
714,530973
801,1878502
802,346642
803,2815407
804,5916873
805,5402066
806,2339247
807,4264002
808,3544610
809,384754
810,14024427
811,316664
812,302740
813,1305019
814,19523
901,527170
902,1316592
903,165338
904,814098
905,81575
906,105220
907,23773
908,105541
909,770471
910,2677001
1001,20571
1003,1368
1005,248310
1006,33665341
1007,2835
1008,44153
1101,9008208
1102,909346
1103,900366
1104,614913
1105,1007283
1106,262145
1107,482
1108,553774
1201,504510
1202,363980
1204,6
1205,1133
1206,119837
1207,70905
1208,4165
1209,226102
1211,187039
1212,303833
1213,22753
1214,302566
1301,3764
1302,230071
1401,927
1404,842
1501,82
1502,141891
1504,34480
