commodity_code,trade_value_usd
1,68395401
2,2777966
3,826214135
4,3184500
5,11254754
6,829885
7,1249366837
8,624463214
9,82449160
10,1160266447
11,11904000
12,547119432
13,1601220
14,6434022
15,5093115
16,3999731
17,152247750
18,110914
19,4517323
20,19039067
21,10089829
22,8665896
23,3911934
24,47811174
25,4782526
26,60029937
27,3427372069
28,2457507
29,557408
30,447484
31,9002
32,362610
33,1376402
34,1648538
35,7866
37,362949
38,647304
39,45883437
40,333775788
41,528426
42,375275633
44,135602477
46,2221646
47,17308190
48,14125620
49,157989
50,633692
51,1190
52,27693333
53,212614
54,1141636
55,12708840
56,861029
57,3052
58,6540590
59,4273911
60,5036310
61,1159691404
62,3425030654
63,29897069
64,471268608
65,32045799
66,1690669
67,15783777
68,804895
69,322476
70,6055423
71,33944611
72,345165170
73,19338171
74,927586367
76,55356161
78,14550858
79,15197535
80,6300
81,31112
82,1039256
83,1319297
84,628795504
85,200476043
86,330196
87,15839576
88,46089714
89,2351412
90,98056492
91,1538524
92,89
93,51938
94,11819104
95,18764321
96,11422770
97,22106
99,1769211
102,67356799
103,12956
104,971525
105,43000
106,11119
201,150000
202,15750
204,2184921
206,254750
208,7544
210,165000
301,27849444
302,206398290
303,263462151
304,10382998
305,58514692
306,177021762
307,78279983
308,4304810
401,9981
403,29777
409,3144741
501,9465594
505,15807
506,124605
508,1457351
511,191395
601,652171
602,45337
603,7144
604,125231
701,291244
702,411492
703,65757114
704,1903040
706,18480
707,92707
708,1007942
709,22848921
710,2097514
711,155084
712,1345061
713,1153137960
714,300272
801,29245782
802,112659866
803,367374952
804,20425267
805,1468843
806,12953
807,57447104
808,86996
809,6048792
810,157456
811,376107
812,4065
813,5323148
814,23831877
901,2437485
902,2269121
904,45457099
906,115632
907,60
908,11206552
909,418845
910,20544363
1001,30
1005,382695210
1006,773175331
1007,102825
1008,4293050
1101,20045
1102,6695987
1104,977832
1105,1547919
1106,2662211
1107,4
1201,6974441
1202,172416548
1205,8400
1206,1603738
1207,310021842
