CommodityCode,ValueUSD
1,6512008
2,8608560
3,2490376
4,38657347
5,1195597
6,1402482
7,5747520
8,9413259
9,5221852
10,43958557
11,70565820
12,2169247
13,1820077
14,99101
15,16033918
16,13419424
17,38257806
18,2230251
19,135183546
20,8356096
21,83329354
22,317550785
23,215623504
24,275971963
25,113569957
26,8240424
27,2034168136
28,32126536
29,48303056
30,200181846
31,222169545
32,78429721
33,64236916
34,65522917
35,30767666
36,1355001
37,2071906
38,137386044
39,567457593
40,177166424
41,249754549
42,17747393
43,292899715
44,187182219
45,404505
46,62078
47,349887
48,385648513
49,34737009
50,2835744
51,28468989
52,584686193
53,708705
54,130163560
55,999344604
56,66748326
57,4377731
58,216905864
59,143817954
60,2732520901
61,33850709
62,64947331
63,131525890
64,143422169
65,2386212
66,17086179
67,955761
68,56052460
69,149296963
70,45129887
71,566150761
72,299812467
73,275071858
74,18459000
75,572014
76,269322084
78,302060
79,5953646
80,522926
81,529716
82,19399229
83,101538463
84,1042558677
85,782891536
86,1260631
87,1717109329
88,7026585
89,7770744
90,75801166
91,2829457
92,286317
93,88610806
94,116880645
95,59756865
96,213228974
97,290670
99,4169862
103,5822258
105,688931
106,818
201,904888
202,1971912
203,114355
204,567816
206,33524
207,4331818
210,684245
301,1204830
302,243706
303,214017
304,396274
305,8638
306,291291
307,130780
308,837
401,15536838
402,10255793
403,4533397
404,1191823
405,3444514
406,3105617
407,337538
409,251323
410,499
504,22627
505,1149063
508,434
511,23471
602,1060411
603,317031
604,25038
701,24696
702,11870
703,279423
704,153540
705,354
706,66547
707,288
708,32760
709,158567
710,1144126
711,21302
712,748223
713,3087651
714,18168
801,730165
802,295499
804,818296
805,994940
806,1384449
807,7960
808,1850052
809,1106947
810,1977120
811,37385
812,16496
813,193943
901,3676785
902,1065566
904,187720
910,291780
1001,9530752
1003,533
1004,425
1005,23502017
1006,10912263
1007,10672
1008,1893
1101,5317094
1102,2013228
1103,2262760
1104,36162
1105,266868
1106,12638
1107,60399013
1108,255908
1109,2145
1201,7032
1202,2452
1204,395
1206,296
1207,39790
1208,3175
1209,1105812
1210,463787
1211,26667
1212,519837
1301,39572
1302,1780504
1401,119
1404,98982
1501,18025
1503,1701
1504,204078
1506,174264
1507,299805
1508,1598
1509,804491
1510,11562
1511,3582851
1512,2055874
1513,329503
1514,23213
1515,815968
1516,3728782
1517,1962154
1518,2015738
1521,4303
1601,2127807
1602,2534399
1604,6923294
1605,1833921
1701,22082683
1702,3442786
1703,15587
1704,12716748
1801,230275
1802,112266
1804,1115
1805,29522
1806,1857070
1901,86245857
1902,19497688
1903,17211
1904,1262469
1905,28160320
2001,123399
2002,193873
2003,270293
2004,248464
2005,1815532
2006,49003
2007,1634764
2008,1577260
2009,2443505
