CommodityCode,ValueUSD
1,44650
2,18008
3,6043267
4,656850
5,358
6,52
7,69449
8,323260
9,16213
10,188953
11,209743
12,416734
13,21
14,6
15,459890
16,386075
17,69142
18,65802
19,745576
20,49339
21,628313
22,99135
23,236499
25,570196
26,61630
27,6412068884
28,2064699
29,211490939
30,1085906
31,182
32,175381
33,382074
34,204065
35,93544
36,174151
37,2930
38,31470248
39,1395960
40,3401894
41,13169
42,653038
43,12
44,2424964
45,1649
46,543
47,402086
48,985127
49,269620
52,9222
54,7746
55,242
56,168802
57,85077
58,806
59,23074
60,143313
61,2679015
62,2881402
63,555776
64,147013
65,34231
66,727
67,4013
68,1917377
69,746477
70,300696
71,193221
72,15740807
73,39209606
74,4128516
75,62456
76,8614011
79,34740
80,25
81,503
82,4001138
83,216290
84,141602336
85,32011670
86,2565546
87,7904995
88,43227511
89,2133003
90,35943089
91,110747
92,3059028
94,1777633
95,277851
96,255122
97,5222
99,6182736
106,44650
202,3574
206,118
210,14315
301,1554277
302,468691
303,2557653
304,5633
305,22179
306,1159377
307,275318
308,134
401,26885
402,478993
403,3070
405,40055
406,107572
409,273
511,358
602,45
604,7
701,712
703,9996
704,287
706,1435
707,433
709,4129
710,46558
711,1794
712,2165
713,1615
714,320
801,14
802,166
803,3495
804,20898
805,11189
807,286625
808,560
813,120
814,189
901,3029
902,7131
904,3015
906,20
909,169
910,2846
1005,25096
1006,161093
1008,2763
1101,204318
1102,4747
1103,366
1104,131
1105,160
1106,18
1201,60373
1207,15350
1210,286
1211,53
1212,340671
1302,21
1404,6
1504,44044
1509,22
1511,101651
1512,27
1515,46990
1516,17
1517,148158
1518,118977
1601,36053
1602,273349
1603,39409
1604,34536
1605,2726
1702,8959
1704,60183
1801,1439
1805,1443
1806,62919
1901,66394
1902,102527
1903,987
1904,3655
1905,572011
2001,5775
2002,766
2003,6244
2004,3664
2005,4155
2007,35
2008,15495
2009,13201
2101,4258
2102,2077
2103,100957
2105,1035
2106,519983
2201,27508
2202,68859
2209,2767
2302,8183
2303,1010
2309,227305
2501,31993
2503,339753
2505,4026
2508,160159
2510,10
2511,137
2516,143
2517,29920
2519,103
2520,36
2521,14
2522,62
2523,3704
2530,131
2620,58010
2621,3619
2701,2
2702,65
2707,36801529
2709,2853973896
2710,532095843
2711,2989135959
2712,44359
2713,3362
2714,1
2715,13863
2804,25726
2805,6480
2811,314
2812,2
2814,4032
2818,7
2820,8363
2827,1570797
2828,1
2832,1
2833,14
2836,5475
2841,19
2843,26
2844,440565
2845,2461
2849,400
2853,9
2901,3833608
2902,44413892
2903,695251
2905,151716208
2907,1
2915,43
2916,4
2918,12931
2922,35
2923,12
2924,7396704
2931,3385851
2932,1850
2936,34541
3001,5010
3002,150
3003,16955
3004,1016760
3005,568
3006,46460
3105,182
3203,35752
3204,2913
3206,0
3208,36859
3209,82871
3210,13883
3213,406
3214,2172
3215,521
3301,298
3303,1501
3304,82731
3305,12704
3306,7309
3307,277529
3401,28719
3402,110350
3403,52202
3405,7716
3406,827
3407,4249
3503,1
3505,6195
3506,87339
3507,8
3603,14652
3604,159498
3701,2117
3702,233
3704,105
3705,474
3801,108368
3802,81
3808,63477
3810,184
3811,4280
3812,5825
3813,4789
3814,2102
3819,5218
3820,2386
3821,111361
3822,41503
3823,53
3824,31119956
3825,656
3903,142
3904,7
3905,135
3906,44145
3907,6569
3909,30935
3910,193
3911,71
3912,7573
3913,1201
3915,90440
3916,1217
3917,32859
3918,22620
3919,9376
3920,6274
3921,2737
3922,23093
3923,683234
3924,122318
3925,38074
3926,272739
4002,592386
4009,892982
4010,4754
4011,901253
4012,315320
4013,272
4014,34
4015,3649
4016,690612
4017,627
4101,8813
4103,4348
4107,7
4201,23371
4202,617274
4203,10806
4205,1586
4304,12
4401,11155
4402,945
4404,120
4407,18181
4409,960597
4412,33851
4414,3906
4415,48
4418,1381916
4419,3824
4420,1538
4421,8879
4504,1649
4601,243
4602,299
4706,2742
4707,399344
4801,44
4802,23925
4803,28
4804,1
4809,26545
4810,277
4811,1241
4813,49
4814,30
4817,3096
4818,6066
4819,740102
4820,8322
4821,8679
4823,166715
4901,92904
4902,123574
4903,1
4906,149
4907,40276
4909,8032
4910,25
4911,4656
5201,7
5208,7615
5209,368
5210,77
5212,1152
5402,799
5407,6947
5503,3
5506,43
5512,170
5516,25
5601,266
5602,2623
5603,127741
5604,147
5607,32803
5608,3059
5609,2161
5702,756
5703,42634
5704,380
5705,41305
5801,46
5804,178
5806,294
5807,199
5808,74
5810,13
5903,7
5906,1227
5907,1056
5909,1920
5911,18863
6001,180
6002,4896
6003,109897
6004,655
6005,1
6006,27682
6101,111738
6102,132015
6103,98743
6104,867667
6105,219134
6106,276288
6107,433790
6108,17597
6109,231175
6110,58782
6111,159519
6112,9107
6113,25394
6114,8511
6115,5443
6116,1957
6117,22145
6201,9611
6202,4304
6203,320623
6204,799300
6205,350245
6206,363544
6207,335168
6208,142772
6209,356005
6210,94560
6211,11543
6212,35342
6213,1
6214,55243
6215,5
6216,2105
6217,1023
6301,255
6302,2696
6303,572
6304,2227
6305,864
6306,85061
6307,463852
6308,7
6309,51
6310,186
6401,649
6402,3846
6403,70024
6404,69235
6405,3256
6501,44
6504,506
6505,2296
6506,30929
6507,454
6601,726
6603,0
6702,4013
6703,0
6802,105688
6804,2577
6805,467
6806,8956
6807,1173
6808,6724
6809,2195
6810,1779511
6811,176
6812,373
6813,915
6815,8616
6902,13
6903,23229
6904,104414
6905,9296
6907,498147
6909,26748
6910,44853
6911,751
6912,34016
6913,4137
6914,867
7002,18136
7003,30
7005,412
7006,14600
7007,81444
7008,6697
7009,628
7010,288
7013,1497
7015,5
7016,81402
7017,516
7018,208
7019,93344
7020,1481
7106,518
7113,11367
7114,99761
7116,29
7117,81545
7204,14932970
7208,19588
7209,800
7210,56449
7214,41420
7215,28074
7216,428231
7217,151043
7219,10555
7221,394
7222,981
7223,25908
7225,30301
7228,14087
7301,32766
7302,1043
7303,44273
7304,4613274
7305,1146
7306,23375203
7307,1779247
7308,2663422
7309,1281275
7310,592195
7311,1324661
7312,313070
7313,243
7314,28741
7315,30821
7316,19854
7317,572475
7318,160943
7319,1301
7320,14525
7321,45269
7322,122
7323,92602
7324,33421
7325,12820
7326,2174878
7403,21
7404,4053723
7408,8807
7411,14994
7412,25755
7415,14417
7418,1423
7419,9372
7507,22547
7508,39908
7601,88
7602,2065175
7604,1412753
7605,912
7606,2975
7607,3200
7608,1329
7609,3649
7610,4949076
7611,2131
7612,5869
7613,10698
7615,4250
7616,151899
7905,34740
8002,1
8007,24
8101,238
8105,264
8201,3261
8202,10691
8203,23098
8204,137995
8205,664188
8206,8212
8207,3049803
8208,95629
8209,2588
8210,132
8211,1483
8212,1142
8213,1287
8214,1082
8215,541
8301,18512
8302,51962
8303,2974
8305,1826
8306,5632
8307,89201
8308,1228
8309,596
8310,788
8311,43566
8402,447582
8404,2917
8405,32109
8406,2021
8407,1093502
8408,8366170
8409,3292953
8410,8858
8411,8193708
8412,663758
8413,5563710
8414,2787679
8415,1324452
8416,540507
8417,5512
8418,297163
8419,1219550
8421,1538846
8422,15774
8423,87668
8424,693526
8425,3189245
8426,48199386
8427,465141
8428,1693133
8429,3460759
8430,17950228
8431,9635071
8432,73
8433,6083
8436,8737
8438,5777
8439,10
8441,312
8443,198599
8450,29741
8451,62504
8452,994
8453,18925
8455,5063
8456,1043701
8457,2389
8458,4467
8459,91787
8460,37313
8461,98808
8462,361826
8463,4960
8464,66911
8465,6075
8466,181889
8467,229691
8468,157402
8470,931
8471,758885
8472,13940
8473,445995
8474,435736
8477,24858
8479,9857613
8480,4111
8481,5060451
8482,231603
8483,761730
8484,603131
8486,44
8487,8306
8501,1756875
8502,1753537
8503,10157
8504,969362
8505,8070
8506,1006933
8507,496966
8508,24720
8509,11195
8511,1782292
8512,66133
8513,47826
8514,92955
8515,1784462
8516,359850
8517,1034040
8518,186139
8519,41570
8521,2536
8522,57084
8523,171285
8525,242451
8526,282582
8527,157827
8528,1505714
8529,241223
8530,27738
8531,50985
8532,7306
8533,21059
8534,87227
8535,225516
8536,321089
8537,1223602
8538,13425952
8539,35171
8540,2301
8541,773
8542,7143
8543,208943
8544,1413040
8545,116
8546,830
8547,153
8548,858919
8607,1505
8609,2564040
8701,124998
8702,503941
8703,662014
8704,490517
8705,5208439
8708,284192
8711,56105
8712,17232
8713,89
8714,5113
8716,552351
8802,2765486
8803,39041085
8804,1415326
8805,5612
8901,931929
8903,534673
8905,14688
8906,302117
8907,349594
9001,2907
9002,484
9003,299
9004,1462933
9005,102092
9006,41903
9007,1621
9010,1682
9011,17053
9012,3582
9013,66838
9014,2699431
9015,6969313
9016,18
9017,44018
9018,1506291
9019,93836
9020,108581
9021,1083274
9022,449017
9023,5525858
9024,251511
9025,60146
9026,2622392
9027,3076327
9028,10490
9029,47403
9030,2291289
9031,6420053
9032,956471
9033,25962
9101,99822
9102,8968
9104,73
9105,165
9106,7
9107,0
9108,1
9111,25
9112,20
9113,1539
9114,123
9201,2212
9202,2944436
9205,102482
9206,3801
9207,5741
9208,281
9209,73
9401,295529
9402,39556
9403,887106
9404,32307
9405,230817
9406,292316
9503,126915
9504,1968
9505,4239
9506,144550
9507,177
9602,8516
9603,51646
9604,264
9605,1853
9606,322
9607,20
9608,76543
9609,4480
9610,346
9611,127
9615,723
9617,1372
9618,37301
9619,71420
9620,181
9701,4984
9706,237
9999,6182736
10619,5950
10631,12085
10690,26614
20230,3574
20690,118
21019,14297
21099,18
30199,1554277
30213,292049
30219,818
30232,149622
30233,5940
30234,471
30239,2210
30259,724
30289,16854
30312,77787
30313,60359
30324,600
30325,311
30326,166978
30329,2817
30342,465886
30343,1388350
30349,68668
30354,28821
30355,121
30359,15638
30389,222126
30391,59184
30499,5633
30539,21108
30541,1071
30612,5581
30614,5429
30616,5377
30617,1110867
30631,4334
30632,2819
30633,20579
30636,4388
30721,4557
30722,6032
30731,13953
30742,86837
30752,152218
30771,10311
30772,1407
30890,134
40110,336
40120,4775
40140,21773
40210,2086
40221,3320
40229,452743
40299,20842
40310,2715
40390,354
40510,37105
40590,2949
40690,107572
40900,273
51199,358
60290,45
60490,7
70190,712
70310,7337
70320,2658
70490,287
70610,1435
70700,433
70920,3506
70940,459
70959,74
70999,88
71010,732
71029,45567
71080,259
71190,1794
71220,42
71231,1769
71239,1
71290,352
71333,64
71390,1550
71410,136
71420,18
71490,165
80132,14
80290,166
80390,3495
80410,2115
80440,18783
80510,3129
80521,4720
80529,135
80540,2835
80550,368
80711,22120
80719,244175
80720,20330
80810,289
80830,271
81340,63
81350,56
81400,189
90111,162
90112,20
90121,2699
90122,147
90210,4466
90220,461
90230,1055
90240,1148
90411,2764
90421,16
90422,233
90611,20
90921,121
90922,16
90931,5
90932,26
91030,29
91091,2713
91099,103
100510,23635
100590,1460
100630,161093
100850,2757
100890,6
110100,204318
110290,4747
110319,366
110429,131
110510,160
110620,18
120190,60373
120740,25
120750,35
120799,15289
121010,286
121190,53
121221,46672
121299,293999
130219,9
130232,12
140490,6
150420,44044
150990,22
151110,1
151190,101650
151219,4
151229,23
151550,2
151590,46987
151620,17
151710,39834
151790,108324
151800,118977
160100,36053
160210,1569
160232,3348
160241,7022
160249,176
160250,189699
160290,71533
160300,39409
160411,41
160413,30604
160414,3660
160420,230
160529,1696
160552,1030
170220,346
170260,272
170290,8340
170410,70
170490,60112
180100,1439
180500,1443
180610,3219
180620,821
180690,58878
190110,2332
190120,63665
190190,396
190219,48280
190220,26
190230,54221
190300,987
190410,5
190420,13
190490,3636
190531,123034
190532,179
190540,128331
190590,320465
200190,5775
200290,766
200310,6103
200390,140
200410,3216
200490,448
200520,2267
200559,1887
200799,35
200811,10209
200819,26
200899,5259
200919,36
200929,48
200949,1149
200950,417
200979,280
200989,16
200990,11251
210111,4101
210120,157
210230,2077
210310,2657
210320,493
210330,110
210390,97696
210500,1035
210610,1125
210690,518858
220110,25169
220190,2338
220210,1728
220291,9250
220299,57880
220900,2767
230230,8183
230310,1010
230910,59979
230990,167326
250100,31993
250300,339753
250510,3615
250590,410
250810,4
250840,160155
251020,10
251110,137
251611,142
251612,1
251741,324
251749,29596
251910,12
251990,90
252020,36
252100,14
252230,62
252310,151
252329,3501
252390,51
253090,131
262011,57855
262099,155
262110,3
262190,3616
270119,2
270220,65
270740,58
270750,36801471
270900,2853973896
271012,161570637
271019,370401696
271099,123508
271111,2957293546
271113,1248935
271119,30593477
271290,44359
271312,3362
271490,1
271500,13863
280429,1125
280440,24410
280469,191
280540,6480
281121,1
281122,239
281129,73
281217,2
281410,4032
281830,7
282090,8363
282710,64240
282720,2662
282739,48363
282749,43
282751,308
282759,1455179
282890,1
283220,1
283322,14
283640,16
283650,2019
283699,3439
284190,19
284329,26
284440,440565
284590,2461
284990,400
285390,9
290110,3833608
290211,383880
290219,10
290220,1769888
290243,41862346
290290,397766
290319,645925
290376,49325
290511,150703675
290512,19016
290513,48607
290519,944908
290719,1
291529,43
291615,4
291811,12929
291814,2
292242,35
292320,12
292429,7396704
293110,3
293190,3385847
293220,1850
293624,32
293629,22699
293690,11809
300190,5010
300290,150
300390,16955
300410,201130
300420,75043
300449,17385
300450,4954
300490,718247
300510,276
300590,291
300610,1215
300620,594
300630,423
300640,994
300650,42419
300692,812
310520,182
320300,35752
320412,2913
320611,0
320810,322
320820,8374
320890,28162
320910,1346
320990,81524
321000,13883
321390,406
321410,1676
321490,495
321511,29
321519,470
321590,21
330112,11
330113,23
330129,224
330190,39
330300,1501
330410,49
330420,2759
330491,670
330499,79251
330510,3174
330530,5339
330590,4190
330690,7309
330720,275261
330749,1966
330790,301
340111,25258
340119,69
340120,184
340130,3205
340211,59
340212,49
340213,177
340219,15
340220,81537
340290,28511
340311,452
340319,35707
340391,761
340399,15280
340510,172
340520,7073
340590,471
340600,827
340700,4249
350300,1
350510,141
350520,6054
350610,45998
350699,41341
350790,8
360300,14652
360490,159498
370110,1969
370130,147
370210,218
370298,14
370400,105
370500,474
380110,4565
380130,103802
380210,1
380290,80
380859,433
380891,59808
380899,3236
381090,184
381119,119
381121,2839
381190,1321
381231,4
381239,5821
381300,4789
381400,2102
381900,5218
382000,2386
382100,111361
382200,41503
382313,53
382440,102783
382450,15
382471,15
382478,17
382491,1
382499,31017123
382530,656
390390,142
390421,1
390422,6
390599,135
390690,44145
390730,3347
390799,3222
390950,30935
391000,193
391190,71
391212,1196
391239,6376
391390,1201
391590,90440
391690,1217
391721,2594
391723,1466
391729,7568
391731,14282
391732,394
391739,6359
391740,193
391810,15056
391890,7564
391910,5116
391990,4259
392010,3672
392020,301
392030,7
392049,5
392091,67
392099,2220
392111,2
392113,7
392119,2057
392190,670
392210,5728
392220,1460
392290,15904
392310,15808
392321,17726
392329,611757
392330,5030
392340,155
392350,2240
392390,30516
392410,7785
392490,114532
392510,7255
392520,23946
392590,6871
392610,5059
392620,7846
392630,5275
392640,29
392690,254528
400211,8939
400259,583447
400911,9666
400912,10855
400921,8726
400922,427394
400931,97032
400932,547
400941,27507
400942,311252
401012,59
401031,8
401032,2561
401033,43
401034,351
401039,1729
401110,160485
401120,32184
401130,700977
401170,2362
401180,5055
401190,187
401211,44300
401212,53699
401219,72
401220,217247
401310,272
401490,34
401511,364
401519,3167
401590,117
401610,1606
401691,402
401692,8597
401693,594564
401694,11819
401695,1303
401699,72319
401700,627
410120,8813
410390,4348
410799,7
420100,23371
420211,1502
420212,31995
420219,509384
420221,26772
420222,6555
420229,12066
420231,4289
420232,48
420239,1569
420291,1522
420292,3198
420299,18367
420310,11
420329,3999
420330,3500
420340,3294
420500,1586
430400,12
440139,11155
440290,945
440420,120
440721,3
440725,18177
440921,145
440922,10770
440929,949681
441231,4
441233,22
441239,6601
441299,27224
441400,3906
441510,48
441820,1309680
441860,31025
441879,386
441899,40823
441912,3824
442010,15
442090,1522
442110,1490
442191,269
442199,7118
450410,161
450490,1487
460199,243
460219,299
470620,2742
470730,24071
470790,375272
480100,44
480220,1325
480257,109
480261,218
480262,1032
480269,21240
480300,28
480431,1
480990,26545
481031,277
481149,1092
481159,42
481160,106
481310,49
481420,30
481710,2714
481720,169
481730,212
481810,1748
481820,334
481830,1148
481890,2834
481910,215255
481920,30005
481930,2607
481940,482260
481950,3545
481960,6428
482010,2425
482020,21
482030,478
482040,2368
482050,3
482090,3025
482110,545
482190,8134
482320,271
482340,372
482369,2180
482370,163421
482390,469
490110,1826
490199,91077
490210,123502
490290,72
490300,1
490600,149
490700,40276
490900,8032
491000,25
491110,892
491191,1
491199,3763
520100,7
520819,1550
520831,1
520832,0
520839,6055
520849,7
520859,1
520949,368
521059,77
521213,0
521215,7
521223,102
521225,1042
540245,43
540261,755
540710,19
540741,1465
540753,169
540769,3542
540772,52
540793,1
540794,1698
550340,3
550690,43
551219,144
551291,13
551299,12
551694,25
560121,263
560129,2
560229,2615
560290,7
560392,127609
560394,132
560490,147
560729,2418
560749,2660
560750,18042
560790,9680
560819,3059
560900,2161
570242,516
570299,240
570320,34380
570330,7128
570390,1126
570410,97
570490,282
570500,41305
580121,1
580126,36
580137,8
580430,178
580610,64
580631,217
580632,13
580710,4
580790,194
580890,74
581099,13
590390,7
590610,1227
590700,1056
590900,1920
591110,38
591190,18825
600110,5
600121,4
600191,11
600199,160
600290,4896
600320,23254
600390,86643
600410,655
600537,1
600610,55
600631,26610
600690,1016
610120,642
610190,111096
610220,12776
610290,119238
610310,1149
610322,14766
610329,36217
610339,14079
610342,16899
610343,838
610349,14791
610419,353
610429,21163
610432,582
610439,720127
610442,2516
610443,147
610444,176
610449,39304
610459,5293
610462,65849
610463,136
610469,12017
610510,67257
610590,151877
610610,4023
610690,272265
610711,12666
610719,142800
610721,37697
610729,163187
610791,45704
610799,31734
610819,1886
610821,14512
610822,59
610831,11
610839,1127
610910,211075
610990,20099
611011,2154
611019,135
611020,27182
611030,480
611090,28830
611120,122283
611190,37235
611211,8983
611219,7
611241,117
611300,25394
611420,1888
611430,565
611490,6058
611510,130
611530,3
611595,1143
611599,4164
611610,670
611692,97
611699,1189
611710,22064
611780,81
620112,7712
620113,1558
620192,207
620193,123
620199,10
620212,52
620213,1404
620291,568
620292,1324
620293,955
620319,15484
620322,140
620332,20138
620333,2390
620339,104138
620341,520
620342,2316
620343,543
620349,174950
620412,542
620419,9988
620422,360
620429,22
620431,1231
620432,215831
620433,47
620439,138947
620441,415
620442,6710
620443,6918
620444,55464
620449,117553
620451,460
620452,2140
620453,524
620459,1408
620462,23472
620463,1484
620469,215776
620520,190
620590,350055
620610,2115
620630,8327
620640,3989
620690,349112
620711,12533
620719,77691
620721,90934
620729,26885
620791,93392
620799,33731
620821,4258
620829,112793
620891,409
620899,25312
620920,273323
620930,35477
620990,47203
621010,33220
621020,60764
621030,539
621050,35
621111,7
621112,14
621132,36
621133,1009
621139,51
621142,7307
621143,232
621149,2883
621210,32854
621220,2221
621290,265
621390,1
621410,122
621420,151
621430,2293
621440,2
621490,52673
621510,0
621520,3
621590,1
621600,2105
621710,941
621790,82
630110,9
630130,58
630190,187
630210,416
630222,89
630231,72
630232,44
630253,20
630259,131
630260,889
630291,1031
630399,572
630419,1394
630491,727
630492,105
630510,1
630520,2
630532,661
630533,1
630590,197
630612,82649
630619,1169
630622,549
630629,426
630690,268
630710,1237
630720,395590
630790,67025
630800,7
630900,51
631010,56
631090,130
640199,649
640219,997
640220,230
640291,621
640299,1997
640319,5694
640320,1517
640340,30443
640351,951
640359,12713
640391,436
640399,18266
640411,902
640419,65846
640420,2486
640590,3256
650100,44
650400,506
650500,2296
650610,30110
650699,818
650700,454
660199,726
660390,0
670210,1821
670290,2191
670300,0
680210,7222
680221,110
680223,66
680229,4
680291,900
680293,96343
680299,1040
680410,5
680423,995
680430,1576
680510,20
680520,150
680530,296
680610,8919
680620,36
680790,1173
680800,6724
680990,2195
681011,933
681019,21143
681091,1657508
681099,99926
681189,176
681280,373
681381,915
681510,6141
681591,7
681599,2467
690290,13
690390,23229
690410,104414
690590,9296
690721,28672
690722,448515
690723,1574
690730,3
690740,19381
690919,26748
691010,953
691090,43900
691110,445
691190,306
691200,34016
691390,4137
691490,867
700231,18116
700232,18
700239,1
700330,30
700521,412
700600,14600
700711,81418
700721,19
700729,6
700800,6697
700991,165
700992,463
701090,288
701310,8
701349,293
701391,87
701399,1108
701590,5
701610,81257
701690,144
701710,19
701790,496
701810,171
701890,36
701911,8733
701940,80124
701951,25
701990,4460
702000,1481
710610,518
711311,1378
711319,8395
711320,1593
711419,99761
711620,29
711711,93
711719,55925
711790,25526
720410,1915821
720421,2212
720429,5210787
720430,1678305
720449,6125842
720851,16564
720852,661
720854,1997
720890,365
720925,393
720990,407
721030,43925
721041,859
721049,2
721070,9
721090,11652
721410,30562
721499,10858
721550,14925
721590,13149
721610,25414
721621,189826
721631,83633
721632,29074
721633,31922
721640,2522
721699,65837
721730,324
721790,150719
721932,9976
721990,578
722100,394
722219,952
722240,29
722300,25908
722519,1509
722599,28791
722830,4271
722860,4761
722870,5048
722880,6
730110,26818
730120,5948
730290,1043
730300,44273
730411,711354
730419,41334
730422,609056
730423,301285
730424,310
730429,524224
730431,5942
730439,245
730441,890
730449,45660
730451,411337
730459,282450
730490,1679182
730539,1146
730611,371718
730619,9521
730621,55347
730629,22004837
730630,332082
730640,486287
730650,89765
730690,25641
730711,6148
730719,18527
730721,9115
730722,149058
730729,17515
730791,11744
730792,354166
730793,22
730799,1212949
730810,63226
