Commodity_Code,Trade_Value_Usd
1,80415839
2,14194726
3,3513112771
4,597073576
5,24083475
6,18502722
7,165999574
8,934343033
9,1719802100
10,17528815
11,96475086
12,307044521
13,144184662
14,316693899
15,20716436876
16,1306315738
17,307501131
18,1244183652
19,1149982747
20,332555621
21,1274141440
22,132042769
23,983368042
24,1150638172
25,399623987
26,3235095660
27,25506189794
28,863140713
29,2367300020
30,592776250
31,701611725
32,395255159
33,784919952
34,1070558938
35,57108540
36,8905386
37,1529149
38,3795923832
39,2601768565
40,5618755772
41,61742056
42,640721162
43,253822
44,3789791636
45,171464
46,104946615
47,2535977896
48,4192605864
49,37093812
50,248277
51,820773
52,644797214
53,11231070
54,552480894
55,1572440849
56,164685693
57,46896450
58,32838540
59,105114605
60,119020020
61,3350092454
62,3633844120
63,314053539
64,4804496152
65,62771904
66,1618260
67,390587750
68,131743576
69,274713069
70,278326576
71,8222548260
72,10861567212
73,1191309314
74,1894788386
75,808419686
76,610110600
78,9587950
79,21993110
80,1130107254
81,8564527
82,89998514
83,93497251
84,5204353194
85,9232680689
86,94909042
87,6602545223
88,46528282
89,231032707
90,635751886
91,30449969
92,561469777
93,271722
94,2287497929
95,500514553
96,361797636
97,6431459
99,49900588
103,75489692
104,704836
105,285577
106,3935732
204,85
207,332845
208,13373592
210,488202
301,49653139
302,125797300
303,532050024
304,563401994
305,104375806
306,1606471181
307,509875591
308,21487733
401,9246318
402,20800436
403,16151771
404,657164
405,560448
406,7182542
407,1302606
408,57008
409,462121
410,540653156
501,1104267
504,34352
505,1943950
506,1367072
507,40606
508,13736785
510,4593
511,5851845
601,2824838
602,7942109
603,4539902
604,3195872
701,3332001
702,589789
703,14139635
704,12352504
705,1375447
706,159530
707,21267
708,2875528
709,3462469
710,24563119
711,1071349
712,7512436
713,51866487
714,42678006
801,544098606
802,269331038
803,5650146
804,86445895
805,1166639
806,3620
807,247841
808,45161
809,39626
810,3275225
811,5547620
812,1619
813,18475483
814,14508
901,821932088
902,96323498
903,34718
904,169751701
905,60247736
906,151292042
907,176540022
908,222966385
909,899931
910,19813974
1001,11
1005,16516340
1006,1012416
1008,47
1101,22238210
1102,1327269
1103,22980
1104,4020240
1105,312432
1106,17967289
1108,50529959
1109,56704
1201,544898
1202,5093715
1203,36545685
1204,449
1206,62601
1207,10482788
1208,73495
1209,12795699
1210,43
1211,41589980
1212,199767185
1213,8646
1214,79331
1301,44506437
1302,99678225
1401,2761445
1404,313932453
1501,68303
1504,4540636
1506,3969
1507,6223
1508,105
1509,1723
1510,1359
1511,17363920824
1512,261662
1513,1873723461
1514,1
1515,4155021
