CommodityCode,ValueUSD
1,293842367
2,1050627613
3,1981841945
4,323421256
5,60967223
6,135380394
7,1233221661
8,2767954799
9,142527829
10,5747825923
11,1583486664
12,257516748
13,29133553
14,9635235
15,573628287
16,6629250873
17,3033717311
18,55366143
19,1429439107
20,2142392632
21,2309898171
22,1860348001
23,1833085817
24,181334973
25,981986264
26,112925277
27,10659570614
28,828867469
29,6188272411
30,557922259
31,258781616
32,673040045
33,2148422393
34,832438532
35,889292913
36,11815697
37,12676590
38,1104146800
39,14661415143
40,15626451466
41,682220818
42,480879503
43,162391933
44,2621888487
45,979329
46,7754918
47,218240046
48,1646801548
49,82459734
50,13079812
51,59494801
52,494528874
53,21346249
54,853985920
55,1399857686
56,556934476
57,167947953
58,228854965
59,201102378
60,379951214
61,1678967220
62,827221504
63,380315049
64,625321564
65,78910121
66,4035915
67,28563566
68,585179111
69,820744932
70,730586396
71,11976666146
72,1582024617
73,4793953698
74,2146749844
75,12731667
76,1828390298
78,58088617
79,66276618
80,190664316
81,100350498
82,577090546
83,908889434
84,43467902682
85,35308520163
86,94016879
87,30763378194
88,936525934
89,1322667214
90,5569665129
91,667666137
92,22793779
93,14673942
94,1308082554
95,774416185
96,720343957
97,18208980
101,856444
102,176336736
103,98550656
104,108426
105,15919242
106,2070861
201,7318
202,276318
203,5538432
204,21462
206,9583691
207,703709147
208,1423876
209,53532
210,330013834
301,30188538
302,46092030
303,130344014
304,257997908
305,79764501
306,1062930688
307,355924456
308,18599806
401,49914337
402,39584799
403,137086273
404,8551320
405,2570443
406,3797509
407,35192880
408,16681067
409,24438683
410,5603940
501,478374
502,62085
504,6794480
505,23706484
506,7851712
507,25851
508,2182150
510,141474
511,19724609
601,3514942
602,45986144
603,78043292
604,7836015
701,32254
702,949042
703,8697957
704,2154010
705,449553
706,1483646
707,359195
708,2514428
709,110897505
710,118850565
711,4803575
712,42652498
713,38745669
714,900631758
801,148095325
802,89946123
803,27453952
804,327488198
805,19318166
806,3826963
807,2693432
808,2383193
809,17014
810,1591047848
811,180111572
812,3964313
813,370646977
814,961717
901,4308945
902,14851409
903,8467
904,23352688
905,1266518
906,180723
907,8935
908,7247
909,335147
910,98207745
1001,29801
1002,77
1003,16902
1004,33488
1005,119665696
1006,5619060699
1007,996882
1008,8022375
1101,10146317
1102,150895317
1103,554203
1104,3827828
1105,699004
1106,50750099
1107,16
1108,1366427356
1109,186521
1201,2007643
1202,2055860
1203,47978512
1204,9545
1205,20
1206,343353
1207,44414295
1208,1431110
1209,138933400
1210,0
1211,10875641
1212,7901665
1213,693274
1214,872423
1301,17045551
1302,12088002
1401,4861002
1404,4774232
1501,9497
1502,2323
1503,11973
1504,17110815
1505,1514
1506,79343
1507,75070094
1508,137016
1509,25014
1510,21023
1511,224220867
1512,4324203
1513,116861785
1514,98766
1515,68692959
1516,28820301
1517,8835550
1518,13700860
1520,14042115
1521,751214
1522,811044
1601,45826534
1602,2681742661
1603,16499346
1604,2975627440
1605,909554890
1701,2759718150
1702,68249636
1703,23111199
1704,182638325
1801,751686
1803,186798
1804,904
1805,340627
1806,54086125
1901,303652277
1902,505351139
1903,29452202
1904,154331389
1905,436652097
2001,17079040
2002,1554923
2003,2524177
2004,34111821
2005,322728424
2006,236055753
2007,33888811
2008,900187053
2009,594262627
2101,121563971
2102,12989607
2103,739126655
2104,64293742
2105,85917737
2106,1286006456
2201,11503047
2202,1461329020
2203,124248152
2204,42287541
2205,206960
2206,4654854
2207,20380350
2208,193201902
2209,2536170
2301,135276467
2302,3650831
2303,45984593
2304,21402887
2306,1897439
2308,18225295
2309,1606648300
2401,60170280
2402,119193431
2403,1971261
2501,17770771
2502,500
2503,1069873
2504,67308
2505,1051058
2506,24289
2507,3811473
2508,16820316
2509,4133
2510,6808
2511,4653049
2512,187784
2513,860933
2514,572
2515,273678
2516,559298
2517,13673152
2518,14800588
2519,239704
2520,183528683
2521,1553610
2522,35663124
2523,642070371
2524,33891
2525,160890
2526,2072774
2529,32445896
2530,8581723
2601,2350364
2602,3586981
2603,3572
2604,220539
2605,364969
2606,17766
2607,150
2608,689096
2609,21420
2610,13805
2611,1668794
2612,29
2613,66068116
2614,6588136
2615,9316752
2616,1518190
2617,3990053
2618,406980
2619,4254927
2620,7824971
2621,4019657
2701,15558822
2703,52405
2704,34603
2705,14144
2706,29983
2707,905813922
2708,198570
2709,825587923
2710,8252832794
2711,316175182
2712,78170738
2713,157034451
2714,1191164
2715,22031820
2716,84844087
2801,4619596
2802,2449305
2803,142807986
2804,67616489
2805,37858623
2806,1796372
2807,17220722
2808,1938305
2809,757925
2810,2011
2811,61733726
2812,10785
2813,2698781
2814,1323929
2815,39383392
2816,59771
2817,27603810
2818,1238013
2819,198207
2820,217280
2821,943668
2822,22722
2823,286416
2824,11834027
2825,40021349
2826,23770372
2827,10327300
2828,1537362
2829,37209
2830,886032
2831,81371
2832,47071288
2833,30275294
2834,6781818
2835,103326217
2836,41386005
2837,388100
2839,11814077
2840,386429
2841,54003
2842,3929230
2843,5214972
2844,1722499
2845,3420
2846,1833157
2847,68278512
2849,306170
2850,2017
2852,3029862
2853,1781518
