Commodity Code,Trade Value (US$)
1,2789
2,247970
3,7042644
4,327858
5,23
7,21792
8,305953
9,15023
10,35899
11,16502
12,488643
13,3143
14,186
15,130094
16,294518
17,111312
18,69880
19,171784
20,40227
21,1253367
22,53751
23,115399
25,1575799
26,110349
27,5386514796
28,225188
29,1098713327
30,395154
32,328214
33,195011
34,182990
35,32855
36,45495
37,1055
38,4287426
39,352833
40,569281
41,65242
42,35397
44,705518
46,2229
47,125945
48,487049
49,37019
52,396
53,0
54,62
55,3990
56,6065
57,42030
58,371
59,1007
60,11813
61,3928175
62,2564794
63,476726
64,57322
65,1431
66,1356
68,50033
69,71071
70,104469
71,12113381
72,2876135
73,10062278
74,158029
75,2455
76,1851327
78,17
79,94268
81,1123
82,2421373
83,190005
84,23658745
85,7273240
86,685970
87,4999359
88,7864299
89,5359770
90,13202184
91,73294
92,6519
94,1083116
95,47876
96,10058
97,953
99,1083988
106,2789
202,96532
204,150761
210,677
302,274564
303,954474
304,1250
306,5753896
307,58459
401,24556
402,130504
403,9278
405,66810
406,95979
407,347
409,381
511,23
701,599
703,4346
709,4889
710,10026
711,1738
712,115
713,76
801,5
802,5665
804,95451
806,69
807,197303
813,7458
901,244
902,13135
910,1643
1005,11475
1006,24320
1008,104
1101,14139
1102,800
1104,1526
1106,36
1202,13
1212,488630
1302,3143
1401,87
1404,99
1504,16
1509,215
1511,1671
1512,52
1515,23992
1516,1
1517,93252
1518,10893
1601,2556
1602,245683
1603,15096
1604,19127
1605,12054
1701,637
1702,4749
1704,105925
1801,660
1805,738
1806,68481
1901,12111
1902,14091
1904,9037
1905,136545
2001,113
2002,347
2003,2743
2004,500
2005,8534
2007,99
2008,26200
2009,1688
2101,11125
2102,1819
2103,43259
2104,3737
2105,33
2106,1193391
2201,11403
2202,30873
2203,52
2209,11423
2308,6
2309,115392
2501,5320
2503,1515670
2505,1965
2508,37605
2516,2
2517,164
2519,521
2523,13665
2525,666
2530,217
2617,3
2620,110345
2707,123218289
2709,1273034900
2710,1557617421
2711,2432634038
2712,14
2713,10131
2804,40510
2811,117
2820,2
2821,7
2827,147785
2833,10
2836,206
2844,8740
2845,12581
2853,15226
2901,34560300
2902,913730026
2903,799
2905,144260149
2918,332
2922,71
2924,1012306
2930,20024
2931,5001971
2932,297
2936,127
2942,126918
3002,987
3004,325091
3005,26961
3006,42114
3204,313739
3208,1177
3209,5215
3210,152
3214,7140
3215,789
3301,226
3302,782
3304,181765
3305,7178
3306,45
3307,5013
3401,132132
3402,39029
3403,4001
3404,115
3405,7654
3406,55
3503,434
3505,22771
3506,9650
3604,45495
3701,99
3704,376
3705,181
3706,72
3707,325
3808,235417
3810,11366
3811,463
3812,213276
3814,91
3815,2919883
3819,7165
3820,533
3822,1800
3823,18831
3824,875204
3825,3390
3903,191
3905,49
3906,110
3907,202
3909,20
3910,504
3911,34
3912,65
3913,3664
3915,8694
3917,74151
3918,27446
3919,4074
3920,366
3921,293
3922,247
3923,26915
3924,11701
3925,3547
3926,190550
4004,51
4008,224
4009,156823
4010,976
4011,64964
4012,89521
4013,72
4014,4
4015,68391
4016,188253
4101,64489
4115,753
4201,3635
4202,30422
4203,596
4205,743
4409,629881
4412,23
4414,227
4415,760
4418,73214
4419,1350
4420,59
4421,1
4601,1619
4602,609
4707,125945
4802,498
4803,13
4804,800
4805,1448
4808,2
4810,2178
4811,12006
4814,72
4816,308
4817,24498
4818,45682
4819,41970
4820,1276
4823,356292
4901,19733
4902,1179
4904,3
4905,93
4906,39
4907,5545
4910,1655
4911,8768
5204,0
5208,2
5209,7
5212,386
5306,0
5407,62
5512,5
5514,3768
5515,217
5601,482
5602,669
5603,673
5607,3023
5608,1216
5609,0
5702,9
5703,13137
5704,3515
5705,25367
5806,333
5807,28
5810,8
5903,641
5906,54
5907,2
5909,14
5911,295
6003,6793
6006,5019
6101,8077
6102,813
6103,63407
6104,837614
6105,421004
6106,201808
6107,44214
6108,38034
6109,1610926
6110,62697
6111,198876
6112,125337
6114,256977
6115,87
6117,58298
6201,411
6203,105663
6204,383204
6205,196734
6206,716100
6207,37693
6208,27340
6209,1025026
6210,18172
6211,49896
6212,222
6214,4303
6216,23
6217,2
6301,1065
6302,2182
6303,19012
6304,5
6307,454439
6309,21
6401,15076
6402,2167
6403,11039
6404,22624
6405,6414
6501,3
6504,2
6505,582
6506,763
6507,79
6601,1356
6801,398
6802,17037
6804,2896
6805,314
6806,25331
6808,869
6809,746
6810,23
6814,72
6815,2343
6901,4
6904,1067
6905,5965
6907,60133
6909,173
6910,434
6911,466
6912,2631
6914,193
7002,75
7005,26
7006,444
7007,51794
7009,111
7010,5
7013,1098
7017,5563
7018,34376
7019,10484
7020,489
7108,11712816
7113,351438
7117,49125
7204,2816307
7205,2
7210,7812
7214,22813
7216,24181
7218,353
7219,796
7222,25
7225,558
7226,724
7228,2558
7301,640
7302,57
7303,5661
7304,801573
7305,1404
7306,6346751
7307,656550
7308,224178
7309,133046
7310,37973
7311,472660
7312,61995
7313,5143
7314,25746
7315,15689
7316,9260
7317,326653
7318,38194
7319,3
7320,2048
7321,21067
7322,47
7323,12794
7324,4776
7325,1064
7326,857291
7404,144931
7407,4198
7412,106
7413,850
7415,4271
7419,3671
7507,2455
7602,289774
7604,3441
7606,117
7609,1231
7610,1277937
7611,259451
7613,173
7615,732
7616,18468
7804,17
7903,51259
7907,43008
8108,1123
8201,38
8202,1173
8203,5998
8204,20974
8205,173755
8206,808
8207,2097677
8208,109628
8209,6815
8211,3107
8213,139
8214,1121
8215,134
8301,3594
8302,5251
8304,785
8305,161
8306,58
8307,9187
8308,7
8309,54
8310,9294
8311,161609
8402,10991
8406,362
8407,204286
8408,67892
8409,962818
8410,22598
8411,2193661
8412,156010
8413,1919808
8414,1264611
8415,2291706
8417,217
8418,87248
8419,35778
8421,232748
8423,34461
8424,364159
8425,774757
8426,738356
8427,28992
8428,292234
8430,2752638
8431,3380814
8432,3839
8433,2789
8435,8874
8436,43
8438,891
8441,12677
8443,27113
8450,16708
8451,3459
8452,372
8457,5433
8458,362
8459,169056
8460,14686
8461,156780
8462,3930
8463,3911
8465,249
8466,163173
8467,7401
8468,1038
8470,583
8471,1171046
8472,17681
8473,219614
8474,100561
8476,206
8477,289
8479,2203517
8480,1882
8481,1320720
8482,45014
8483,75450
8484,66410
8487,15816
8501,314161
8502,221435
8503,489312
8504,180489
8505,16157
8506,247308
8507,570208
8508,4559
8509,3300
8510,1475
8511,537575
8512,143
8513,1009
8514,5442
8515,38642
8516,41702
8517,439086
8518,227814
8519,3295
8521,1139
8522,36
8523,10237
8525,709
8526,1599
8527,51455
8528,492385
8529,7628
8530,1493
8531,5239
8532,14147
8533,88
8534,8495
8535,17201
8536,82677
8537,1740247
8538,425640
8539,23608
8540,3393
8541,3744
8542,1529
8543,510384
8544,119433
8547,91
8548,407509
8607,108
8609,685862
8701,82374
8703,243738
8704,269378
8705,340484
8708,3238380
8709,7
8711,42265
8712,1091
8714,4470
8716,777168
8802,766063
8803,7095695
8805,2540
8903,112690
8904,239063
8905,4944392
8906,4966
8907,58657
9002,60729
9003,955
9004,266973
9005,34606
9006,10453
9007,12207
9010,1350
9011,4521
9013,362689
9014,475432
9015,3346498
9017,22991
9018,183476
9019,3786383
9020,26032
9021,239280
9022,68206
9023,703601
9024,720731
9025,81309
9026,407690
9027,536404
9028,5234
9029,61749
9030,387288
9031,1105216
9032,213775
9033,76391
9101,64575
9102,8299
9105,332
9106,59
9108,7
9113,20
9202,4419
9205,1811
9206,108
9209,181
9401,22652
9402,14890
9403,48429
9404,905547
9405,82287
9406,9308
9503,40357
9504,663
9505,702
9506,5490
9507,604
9508,57
9603,6343
9606,21
9608,879
9609,47
9615,26
9619,2739
9701,833
9703,120
9999,1083988
10619,1267
10690,1521
20230,96532
20410,3986
20442,146774
21020,561
21099,115
30213,84688
30232,189875
30312,20289
30313,29339
30326,46566
30329,2050
30342,18963
30343,322205
30349,3632
30354,2108
30355,3039
30359,10598
30363,8867
30389,10424
30391,7844
30399,468546
30439,21
30487,1228
30612,57
30614,378
30617,1528606
30631,4851
30633,3161
30636,3441808
30695,775032
30712,1130
30721,8374
30731,5686
30742,13506
30743,158
30752,28628
30771,974
40110,23475
40120,818
40140,260
40150,1
40229,122335
40299,8169
40310,2950
40390,6328
40510,12129
40590,54680
40610,292
40630,5148
40690,90538
40729,347
40900,381
51199,23
70190,599
70310,4346
70960,253
70999,4636
71010,962
71021,405
71029,8294
71090,363
71190,1738
71220,115
71360,76
80119,5
80222,5665
80410,90732
80440,4718
80620,69
80719,197303
81350,7458
90112,54
90121,133
90122,56
90210,111
90220,8989
90240,4035
91091,1537
91099,106
100510,11475
100630,24320
100829,104
110100,14139
110290,800
110412,600
110429,925
110620,36
120230,1
120242,11
121221,64703
121229,423926
130219,3140
130239,2
140110,87
140490,99
150430,16
150990,215
151190,1671
151229,52
151590,23992
151620,1
151710,79541
151790,13710
151800,10893
160100,2556
160249,2573
160250,242768
160290,341
160300,15096
160411,5227
160413,4067
160414,5367
160416,21
160419,26
160420,4417
160510,11722
160521,207
160529,124
170199,637
170219,182
170220,1556
170290,3010
170410,1543
170490,104381
180100,660
180500,738
180610,2025
180620,668
180631,54
180632,53373
180690,12358
190110,326
190120,2890
190190,8894
190219,11031
190230,3060
190410,64
190420,964
190490,8007
190531,2287
190540,7663
190590,126594
200190,113
200290,347
200310,2743
200410,99
200490,401
200520,2379
200559,249
200570,675
200580,5090
200599,139
200799,99
200811,19602
200819,5879
200897,21
200899,696
200949,339
200969,34
200981,79
200989,1103
200990,130
210111,7041
210112,3867
210120,215
210220,4
210230,1815
210310,384
210390,42875
210410,3737
210500,33
210610,1000
210690,1192390
220110,1517
220190,9885
220210,13007
220291,4071
220299,13794
220300,52
220900,11423
230800,6
230910,13162
230990,102229
250100,5320
250300,1515670
250590,1965
250810,37598
250840,7
251611,2
251741,164
251910,198
251990,322
252310,1939
252321,1285
252329,10431
252390,9
252510,666
253090,217
261790,3
262060,10866
262099,99479
270710,3525919
270740,113
270750,105017379
270799,14674878
270900,1273034900
271012,612596948
271019,945019981
271020,466
271099,25
271111,2159176979
271113,40055895
271119,233401163
271290,14
271311,10
271312,10121
280469,40510
281122,117
282090,2
282110,7
282710,46779
282739,86990
282749,13324
282751,690
283322,2
283330,7
283630,99
283650,106
284440,8740
284590,12581
285390,15226
290110,28815426
290122,5744752
290129,121
290211,6445944
290220,213358406
290230,43181
290243,693882495
290319,799
290511,144182219
290512,24764
290519,48159
290559,5006
291812,34
291814,298
292219,42
292250,28
292429,1012306
293090,20024
293190,5001971
293220,297
293627,19
293629,107
294200,126918
300212,42
300230,0
300290,943
300410,22
300420,10693
300432,24
300450,206008
300490,108342
300510,121
300590,26839
300620,7921
300630,159
300640,62
300650,33963
300692,7
320419,313739
320820,826
320890,351
320990,5215
321000,152
321410,6302
321490,838
321511,108
321590,680
330129,226
330210,782
330410,5
330420,1
330491,394
330499,181363
330510,59
330590,7118
330620,44
330690,0
330720,19
330730,3
330741,5
330790,4984
340111,24120
340130,108012
340220,304
340290,38725
340319,1112
340399,2889
340490,115
340510,52
340590,7602
340600,55
350300,434
350510,68
350520,22703
350610,173
350699,9476
360490,45495
370199,99
370400,376
370500,181
370690,72
370790,325
380894,224125
380899,11291
381010,1662
381090,9703
381190,463
381231,2308
381239,210968
381400,91
381512,99
381519,193803
381590,2725980
381900,7165
382000,533
382200,1800
382319,18831
382440,12722
382450,7
382478,189
382479,244
382499,862041
382590,3390
390390,191
390599,49
390690,110
390730,202
390950,20
391000,504
391190,34
391239,65
391390,3664
391590,8694
391710,2963
391729,57
391731,21981
391732,682
391733,36
391739,3352
391740,45076
391810,25176
391890,2269
391910,1768
391990,2306
392071,72
392099,293
392114,278
392190,14
392290,247
