commodity_code,trade_value_usd
1,471010135
2,710544122
3,256754044
4,1156623343
5,149111421
6,8016616
7,846412163
8,1271530113
9,233191702
10,3021813166
11,286048096
12,1420623083
13,80670393
14,1529813
15,220723981
16,52215371
17,2276075733
18,650706096
19,477832303
20,197759652
21,818696235
22,122905932
23,2910794878
24,664318484
25,758255683
26,782488932
27,15779401708
28,1559211162
29,5026840865
30,1158791394
31,1337339984
32,1254282272
33,1131924353
34,535190688
35,510551854
36,84643429
37,48430041
38,2974888306
39,7154565449
40,1767175691
41,384123527
42,286665604
43,2540048
44,350176425
45,5854441
46,661026
47,1249687226
48,1265560696
49,142561808
50,3521897
51,44882232
52,1327738071
53,56670752
54,1178135962
55,840740403
56,566815936
57,10214244
58,259825846
59,578456052
60,1397391448
61,295743117
62,331606715
63,308795290
64,617269770
65,35390884
66,19192531
67,86305773
68,412990296
69,491462951
70,345268643
71,2008875767
72,6855165884
73,2783729091
74,1049540001
75,90382321
76,1415703832
78,81214821
79,316197897
80,12503879
81,93952024
82,546957089
83,674649507
84,21808515891
85,19027917084
86,164756562
87,4437176899
88,388366985
89,955174549
90,2907068657
91,182637340
92,143871557
93,404614450
94,1045917402
95,337731937
96,500787626
97,1797246
99,267416637
101,493080
102,434816407
104,309694
105,31850014
106,3540940
201,27705048
202,559283863
203,2764091
204,7999910
206,111191648
207,16200
208,79618
209,127
210,1503617
301,2918865
302,25759149
303,132382000
304,7563838
305,1262407
306,77411461
307,9096711
308,359613
401,11304804
402,721855097
403,19841415
404,153905724
405,94484520
406,118258428
407,377894
408,9829689
409,26199541
410,566231
501,58504981
502,9384632
504,292
505,67812120
506,968
507,2151
508,305099
510,783
511,13100395
601,390373
602,3638197
603,2982468
604,1005578
701,17649276
702,4052
703,651313068
704,7837453
705,9460
706,416484
707,354
708,267244
709,12334327
710,5341417
711,76042
712,36406282
713,112849169
714,1907535
801,10102219
802,14019785
803,11239
804,82052000
805,150318708
806,277973383
807,65
808,628175860
809,10771758
810,91017466
811,5172269
812,93
813,1836767
814,78501
901,38280045
902,25856745
903,2777
904,69230494
905,21134621
906,15198944
907,12342927
908,1760667
909,25167026
910,24217456
1001,2616036587
1003,116438
1004,59561
1005,172649320
1006,195409001
1007,42
1008,37542217
1101,13627930
1102,260028
1103,2535111
1104,7145962
1105,12733273
1106,1311151
1107,7556438
1108,236380099
1109,4498104
1201,1003421607
1202,336927608
1203,347591
1204,161905
1205,379187
1206,19262092
1207,12978916
1208,3605057
1209,11763529
1210,307603
1211,11572483
1212,15541751
1213,1055976
1214,3297778
1301,4692734
1302,75977659
1401,1103382
1404,426431
1501,305525
1502,270
1503,4
1504,16124534
1505,460362
1506,456333
1507,32755532
1508,61518
1509,12596030
1510,641616
1511,938882
1512,9861469
1513,42265722
1514,12460985
1515,25793916
1516,27541549
1517,28744641
1518,8219290
1520,141813
1521,1353946
1522,44
1601,225951
1602,25413078
1603,338121
1604,19740689
1605,6497532
1701,1935927449
1702,261900644
1703,18448622
1704,59799018
1801,505495460
1802,20037
1803,11650447
1804,4181552
1805,55631770
1806,73726830
1901,320303348
1902,37746320
1903,1863494
1904,25292957
1905,92626184
2001,795660
2002,14726439
2003,4381864
2004,67339512
2005,26713694
2006,1116116
2007,15452447
2008,42712731
2009,24521189
2101,106592394
2102,41720106
2103,88399229
2104,14410847
2105,34682014
2106,532891645
2201,1162098
2202,86530973
2203,452751
2204,4254414
2205,35631
2206,304522
2207,23140249
2208,5113109
2209,1912185
2301,328143458
2302,1372869
2303,307313888
2304,1938224760
2306,4379775
2307,18865
2308,652802
2309,330688461
2401,550412368
2402,49380871
2403,64525245
2501,94561068
2502,1580874
2503,66342778
2504,2591571
2505,2945905
2506,9171358
2507,25230645
2508,52367192
2509,208278
2510,197280424
2511,9880623
2512,3119472
2513,7487104
2514,118322
2515,7108768
2516,1521693
2517,3574915
2518,3011213
2519,32490759
2520,65116747
2521,26944088
2522,23767237
2523,2332305
2524,40364910
2525,2362548
2526,22289313
2528,2082835
2529,38186292
2530,14216446
2601,681927275
2602,11207281
2603,380118
2604,23361
2605,1899
2606,835658
2607,678177
2608,11338
2609,79126
2610,72426328
2611,186798
2612,58
2613,1106
2614,7531922
2615,1803068
2616,134877
2617,28737
2618,1073264
2619,1072356
2620,2386544
2621,699641
2701,902665571
2702,68399
2703,178003
2704,187328804
2706,1690151
2707,296927868
2708,12884797
2709,3391684209
2710,7967702409
2711,2581031682
2712,22062546
2713,292005477
2714,895531
2715,2321287
2716,119954974
2801,923588
2802,10140614
2803,171558431
2804,65053559
2805,13505948
2806,570591
2807,4353083
2808,6437270
2809,56092649
2810,1430843
2811,69937966
2812,3446603
2813,4963510
2814,6262740
2815,82206311
2816,4308921
2817,7466149
2818,172462243
2819,3952758
2820,33531640
2821,6685202
2822,2565728
2823,9738401
2824,752894
2825,30736148
2826,7553163
2827,53322839
2828,4005776
2829,11152687
2830,2529147
2831,7151843
2832,9157840
2833,87388593
2834,14479446
2835,87878460
2836,260955308
2837,29284140
2839,18828815
2840,21775604
2841,6261963
2842,19777170
2843,109776771
2844,10140473
2845,435307
2846,805361
2847,17611376
2849,7573473
2850,1876230
2852,192643
2853,212944
2901,760698738
2902,628871413
2903,142344344
2904,9072370
2905,619327787
2906,44524369
2907,35246566
2908,13610820
2909,77407165
2910,3480004
2911,872260
2912,46971379
2913,25560
2914,95362555
2915,241176619
2916,231840217
2917,136208517
2918,104703602
2919,3730802
2920,8582155
2921,87812457
2922,212714843
2923,44403528
2924,97356463
2925,13942895
2926,38479567
2927,12269222
2928,14047652
2929,116153657
2930,166418126
2931,126260949
2932,84032662
2933,294965422
2934,97172705
2935,24392691
